descuento,descuento_valor,descuento_descripcion,url_establecimiento,nombre,facebook,categoria,descripcion,direccion,horario,vigencia,condicion,telefono,correo,web,terminos
Hasta45%Dscto.,45%,HASTA -45% EN CURSOS TECNOLÓGICOS,https://clubelcomercio.pe/educacion-tecky-brains-tecky-brains-13758,TECKY BRAINS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/educacion-tecky-brains-tecky-brains-13758,Educación,"Tecky Brains, institución educativa online promueve niños creadores y emprendedores para el futuro a través de la fórmula STEAM y Emprendimiento con metodología inspirada en el Design Thinking. Con el Club accede hasta un 45% de dscto. en sus cursos para niños y adolescentes. Nos dejes pasar esta gran oportunidad para desarrollar el potencial de tus hijos y llevarlos a lo más alto.",,,Del 01 de junio al 31 de octubre 2023,Comunícate al WhatsApp e indica tu DNI para la matrícula.,(01)  978941451,informes@teckybrains.fun,http://www.teckybrains.fun/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 01 de junio al 31 de octubre 2023. Sujeto a cupos disponibles. Consultar fechas de inscripción e inicio de clases directamente con la institución. El beneficio consiste en 45% en cursos grupales virtuales y 5% en cursos presenciales y personalizados virtuales. Válido para clases presenciales y virtuales. El descuento del Club no aplica en materiales de clase (Kit). Válido para matriculas vía WhatssApp. No aplica para matriculas vía web. Para acceder al beneficio el suscriptor deberá comunicarse al 978 941 451 e indicar su tipo y n° de documento oficial al realizar la matricular. Además, deberán tener la condición de “Activos” (pagos al día). Este beneficio es tranferible a familiares directo (hijo (a) y esposo (a)). Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. El descuento aplica solo al precio de lista del curso. Este beneficio no es retroactivo, es decir, si no se indica al momento de la inscripción, no podrá solicitarlo luego. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier medio de pago permitido por el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta53%Dscto.,53%,HASTA -53% EN DETERMINADOS PROGRAMAS,https://clubelcomercio.pe/educacion-berlitz-berlitz-adultos-13595,BERLITZ ADULTOS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/educacion-berlitz-berlitz-adultos-13595,Educación,"El programa Adultos es una clase con un profesor de idiomas online en vivo, que te permite aprender en casa o en la oficina, de acuerdo a tu propio horario. Con el Club obtén hasta un 53% de dscto. sobre el precio de lista en determinados programas. Donde los grupos son pequeños para permitir una experiencia personalizada, así como una mayor interacción entre los participantes del grupo. No te quedes con las ganas de aprender un nuevo idioma.",Beneficio Online.,,Del 01 al 31 de julio 2023.,Solicítalo vía correo a: ingrid.reyes@berlitz.com.pe  indicando tu DNI.,(01)  017076479,ingrid.reyes@berlitz.com.pe,#,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y de los paquetes Todo Diarios y Todo Incluido de PeruQuiosco. Válido para matrículas desde 01 al 31 de julio, sujeto a cupos disponibles.  El beneficio consiste en hasta 53% de dscto. en determinados programas. Para acceder al beneficio el suscriptor y/o beneficiario deberá escribir vía correo electrónico a ingrid.reyes@berlitz.com.pe indicando su tipo y N° de documento de identidad, además de tener la condición de ""Activos"" (pagos al día). Este beneficio puede ser transferible para un familiar hasta el segundo grado de consanguinidad Padres, hijos, nietos, hermanos y esposo/ esposa). Para consultas e información de ventas contactar mail ingrid.reyes@berlitz.com.pe Este beneficio no es retroactivo, es decir, si no se indica al momento de la inscripción, no podrá solicitarlo luego. Aplican condiciones y restricciones que se informaran durante el proceso de venta. El beneficio no aplica para los niveles 9 y 10 de los programas Berlitz Anywhere. No aplica para los programas corporativos que pudieran ser contratados directamente por empresas. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier método de pago permitido por el establecimiento.  Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta60%Dscto.,60%,HASTA -60% EN PROGRAMA KIDS & TEENS,https://clubelcomercio.pe/educacion-berlitz-berlitz-kids-teens-13596,BERLITZ KIDS & TEENS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/educacion-berlitz-berlitz-kids-teens-13596,Educación,"Berlitz Kids & Teens es un programa único, virtual e interactivo para aprender inglés en vivo, en el que niños y jóvenes aprenderán cada día, por medio de experiencias y desafíos diseñados especialmente para motivarlos a seguir mejorando su desempeño en el idioma. Con el Club siempre accederás al mejor precio. Obtén hasta 60% dscto. sobre el precio de lista para el programa Berlitz Kids & Teens. No esperes más y aplica su comprobado y efectivo método 100% conversacional Berlitz.",Beneficio Online.,,Del 01 al al 31 de julio 2023,Solicítalo vía correo a: ingrid.reyes@berlitz.com.pe indicando tu DNI.,(01)  017076479,ingrid.reyes@berlitz.com.pe,#,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y de los paquetes Todo Diarios y Todo Incluido de PeruQuiosco. Válido para matrículas desde 01 al 31 de julio, sujeto a cupos disponibles.  El beneficio consiste en hasta 60% en programas para Kids & Teens. Para acceder al beneficio el suscriptor y/o beneficiario deberá escribir vía correo electrónico a ingrid.reyes@berlitz.com.pe indicando su tipo y N° de documento de identidad, además de tener la condición de ""Activos"" (pagos al día). Este beneficio puede ser transferible para un familiar hasta el segundo grado de consanguinidad Padres, hijos, nietos, hermanos y esposo/ esposa). Para consultas e información de ventas contactar mail ingrid.reyes@berlitz.com.pe Este beneficio no es retroactivo, es decir, si no se indica al momento de la inscripción, no podrá solicitarlo luego. Aplican condiciones y restricciones que se informaran durante el proceso de venta. No aplica para los programas corporativos que pudieran ser contratados directamente por empresas. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier método de pago permitido por el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
20%Dscto.,20%,-20% EN CLASES DE INGLÉS Y PORTUGUÉS,https://clubelcomercio.pe/educacion-universidad-peruana-cayetano-heredia-idiomas-cayetano-13537,IDIOMAS CAYETANO,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/educacion-universidad-peruana-cayetano-heredia-idiomas-cayetano-13537,Educación,"El Centro de Idiomas de la Universidad Peruana Cayetano Heredia busca brindar excelentes métodos y servicios de enseñanza de lenguas extranjeras. Ahora con el Club, accede un 20% de descuento en clases de Inglés y Portugues. Matricúlate vía mail y WhatssApp. No dejes pasar la oportunidad de ponerte a prueba y lograr el reto de aprender un gran idioma.",U.P Cayetano Heredia,,Del 17 de marzo al 31 de julio 2023,Comunícate vía mail o WhatsApp indicando tu DNI.,(01)  913035163,idiomas@oficinas-upch.pe,https://idiomas.cayetano.edu.pe/,"Promoción exclusiva para suscriptores y/o beneficiarios de las ediciones impresas de los diarios El Comercio y/o Gestión y de los paquetes Todo Diarios y Todo Incluido de PeruQuiosco. Válido del 17 de marzo al 31 de julio 2023. Sujeto a cupos disponibles. Consultar cupos disponibles con el establecimiento. El beneficio consiste en 20% de descuento en clases de Inglés y Portugues. Valido para matricularse vía correo electronico y WhatssApp. Para acceder al beneficio, el suscriptor deberá comunicarse vía correo a idiomas.cayetano@upch.pe o vía WhatssApp al 913 035 163 e indicar su tipo y N° de documento de identidad. Además deberá tener la condición de ""Activo"". Este beneficio puede ser transferible para un familiar directo (esposo/a o hijos).  Este beneficio no es retroactivo, es decir, si no se indica al momento de la inscripción, no podrá solicitarlo luego. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier medio de pago que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
20%Dscto.,20%,-20% EN CURSOS ESPECIALIZADOS PARA EJECUTIV...,https://clubelcomercio.pe/educacion-universidad-del-pacifico-pacifico-business-school-13402,PACÍFICO BUSINESS SCHOOL,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/educacion-universidad-del-pacifico-pacifico-business-school-13402,Educación,"Pacífico Business School tiene como misión contribuir al desarrollo económico y al bienestar social del país, mediante la formación de profesionales éticos y líderes en sus campos de especialidad, capaces de innovar y generar valor en entornos globales en constante cambio. Obtén el 20% dscto. en Cursos Especializados para Ejecutivos como: Estrategia y Gestión; Innovación y Tecnología; Finanzas y Contabilidad; Mkt y Ventas; Operaciones, entre otros cursos más. (Sujeto a cupo).",Beneficio online.,,Del 14 de febrero al 31 de diciembre 2023,Solicita el beneficio vía correo mail indicando tu documento de identidad.,(01)  012190100 anexos 5383 | 5384,cursos@up.edu.pe,https://cursos.pbs.edu.pe/,"Promoción exclusiva para suscriptores y/o beneficiarios de las ediciones impresas de los diarios El Comercio y/o Gestión, válida desde el 14 de febrero (matrículas) ; y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco desde el 08 de marzo (matrículas) , hasta el 31 de diciembre 2023. Sujeto a cupos disponibles. Consultar fechas de inscripción e inicio de clases en: http://cursos.pbs.edu.pe/ . Para acceder al beneficio el suscriptor y/o beneficiario deberá escribir vía correo electrónico a cursos@up.edu.pe indicando su tipo y N° de documento de identidad, además de tener la condición de ""Activos"". El descuento del Club El Comercio tiene un máximo de 5 cupos por cada curso. Este beneficio puede ser transferible para un familiar o un tercero.  Para consultas e información de ventas contactar  mail  cursos@up.edu.pe. El suscriptor y/o tercero podrá matricularse a un curso por vez con el beneficio, es decir, no podra estar inscrito en más de un curso al mismo tiempo. Este beneficio no es retroactivo, es decir, si no se indica al momento de la inscripción, no podrá solicitarlo luego. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier método de pago permitido por el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
20%Dscto.,20%,-20% EN CURSOS ESPECIALIZADOS DE LA ESCUELA...,https://clubelcomercio.pe/educacion-universidad-del-pacifico-escuela-de-gestion-publica-univ-pacifico-13403,ESCUELA DE GESTIÓN PÚBLICA | UNIV. PACÍFICO,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/educacion-universidad-del-pacifico-escuela-de-gestion-publica-univ-pacifico-13403,Educación,"La Escuela de Gestión Pública de la Universidad del Pacífico busca contribuir con la mejora de la gestión pública, mediante el fortalecimiento de las instituciones públicas y privadas vinculadas con el manejo de los recursos del Estado, a partir de: la formación académica y el desarrollo de competencias de los funcionarios que participan en el diseño y la implementación de las políticas públicas. Obtén el 20% dscto. en cursos especializados (Sujeto a cupo).",Beneficio online.,,Del 14 de febrero al 31 de diciembre 2023.,Solicita el beneficio vía correo electrónico indicando tu documento de identidad.,(01)  012190100 anexo 5370,cursos.egp@up.edu.pe,https://www.up.edu.pe/egp/cursos-lista.aspx,"Promoción exclusiva para suscriptores y/o beneficiarios de las ediciones impresas de los diarios El Comercio y/o Gestión, válida desde el 14 de febrero (matrículas) ; y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco desde el 08 de marzo (matrículas), hasta el 31 de diciembre 2023. Sujeto a cupos disponibles. Consultar fechas de inscripción e inicio de clases en: up.edu.pe/egp/cursos-lista.aspx . Para acceder al beneficio el suscriptor y/o beneficiario deberá escribir vía correo electrónico a cursos.egp@up.edu.pe  indicando su tipo y N° de documento de identidad, además de tener la condición de ""Activos"". El descuento del Club El Comercio tiene un máximo de 5 cupos por cada curso. Este beneficio puede ser transferible para un familiar o un tercero.  Para consultas e información de ventas contactar al mail cursos.egp@up.edu.pe. El suscriptor y/o tercero podrá matricularse a un curso por vez con el beneficio, es decir, no podra estar inscrito en más de un curso al mismo tiempo. Este beneficio no es retroactivo, es decir, si no se indica al momento de la inscripción, no podrá solicitarlo luego. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier metodo de pago permitido por el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta40%Dscto.,40%,HASTA -40% CLASES DE CONVERSACIÓN ONLINE,https://clubelcomercio.pe/educacion-speexx-idiomas-speexx-13374,IDIOMAS SPEEXX,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/educacion-speexx-idiomas-speexx-13374,Educación,"Speexx es la plataforma digital n° 1 para aprendizaje de idiomas. Utilizan tecnología de inteligencia artificial y además cuenta con una red global de los mejores entrenadores en capacitación de idiomas. Están respaldados por más de 200 premios internacionales y sus más de 8 millones de usuarios a nivel mundial. Gracias al Club obtén hasta el 40% de descuento en diversos paquetes. No lo pienses mucho, y contacta ahora para obtener más información. Aplica para matrícula vía mail y WhatsApp.",Beneficio vía mail y WhatsApp,,Del 07 de febrero al 31 de julio 2023,Comunícate vía correo o WhatssApp e indica tu DNI.,(01)  933931793,peru@educaciondigitalsa.com,http://www.speexx.com,"Promoción exclusiva para suscriptores y/o beneficiarios de las ediciones impresas de los diarios El Comercio y/o Gestión, válida para matricularse del 07 de febrero; y de los paquetes Diarios y Todo Incluido de PeruQuiosco desde el 08 de marzo, al 31 de julio 2023. Sujeto a cupos disponibles.  El beneficio consiste en 40% de descuento en plan CORE, 35% de descuento en plan SMART y 25% de descuento en Plan EXPERT. Valido para matricularse vía correo electronico y WhatssApp. Para acceder al beneficio, el suscriptor deberá comunicarse vía correo electrónico a peru@educaciondigitalsa.com o vía WhatssApp al +51 933 931 793  e indicar su tipo y N° de documento de identidad. Además deberá tener la condición de ""Activo"". Este beneficio puede ser transferible para un familiar directo (esposo/a o hijos).  Este beneficio no es retroactivo, es decir, si no se indica al momento de la inscripción, no podrá solicitarlo luego. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier metodo de pago permitido por el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta25%Dscto.,25%,-25%  EN CURSOS Y DIPLOMADOS,https://clubelcomercio.pe/educacion-instituto-toulouse-lautrec-toulouse-lautrec-13371,TOULOUSE LAUTREC,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/educacion-instituto-toulouse-lautrec-toulouse-lautrec-13371,Educación,"En Toulouse Lautrec saben que todo puede parar, pero la creatividad no se detiene nunca. ¡Por eso te brindan las mejores herramientas para que puedas seguir creando! Con el Club obtén el 25% de dscto. en cursos (3 a 11 meses de duración) y diplomados (6 meses de duración), además del 15% dscto. en cursos para adolescentes y niños.",Beneficio online.,,Del 06 de febrero al 31 de julio 2023,Comunícate vía whatsapp e indica tu DNI.,(01)  No disponible,educacioncontinua@tls.edu.pe,https://www.toulouselautrec.edu.pe/,"Promoción exclusiva para suscriptores y/o beneficiarios de las ediciones impresas de los diarios El Comercio y/o Gestión desde el 06 de febrero (matricula); y de los paquetes Diarios y Todo Incluido de PeruQuiosco desde el 08 de marzo (matricula), al 31 de julio 2023. El descuento consiste en 25% en cursos (3 a 11 meses de duración) y diplomados (6 meses de duración), para adultos y 15% en cursos para adolescentes y niños. Sujeto a reprogramaciones y/o capacidad de aula . Consultar fechas de inscripción e inicio de clases con el establecimiento. Para acceder al beneficio el suscriptor deberá escribir vía correo electrónico al educacióncontinua@edu.pe o vía telefónica al 975833060 e indicar su tipo y N° de documento de identidad. Además, deberá tener la condición de ""Activo"" (Pagos al día). El suscriptor podrá pagar el monto por cuota (por mes) o el monto total del curso y/o diplomado.  Existe monto de matrícula de S/150 dependiento del curso y/o diplomado.  El descuento no aplica sobre el monto de matrícula.  Este beneficio puede ser transferible sólo para un familiar directo (hijo, espos(a), padres, hermanos).  Para consultas e información de ventas contactar  mail  educacióncontinua@edu.pe o al whatsapp 975833060. Este beneficio no es retroactivo, es decir, si no se indica al momento de la inscripción, no podrá solicitarlo luego. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier método de pago permitido por el establecimiento.  Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
40%Dscto.,40%,-40% EN CURSOS CORTOS Y DIPLOMADOS,https://clubelcomercio.pe/educacion-instituto-superior-san-ignacio-de-loyola-isil-cursos-y-diplomados-13256,ISIL | CURSOS Y DIPLOMADOS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/educacion-instituto-superior-san-ignacio-de-loyola-isil-cursos-y-diplomados-13256,Educación,"La exigencia del mercado continúa y la educación es un proceso continuo. El deseo de escalar posiciones en una empresa o, simplemente, las ganas de aprender es una decisión inteligente. El Instituto San Ignacio de Loyola, abre sus puertas para brindarle el 40% de dscto.en cursos cortos como: Gestión Comercial, Marketing Digital, Innovación, operaciones y logística, entro otros. Y diplomados en: Gestión de Negocios, Marketing y Ventas, talento humano, entre otros.",Av. La Fontana 955 - La Molina,,Del 17 de enero al 31 de diciembre 2023,Acceda presentando su DNI e identificándose como suscriptor vía Email.,(01)  017060000,ee@isil.pe,https://isil.pe/ed-ejecutiva/,"Promoción exclusiva para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y Gestión, válido para inscripciones del 17/01/23 hasta el 31/12/23 y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuisco desde el 08/03/23 al 31/12/23 y/o hasta agotar stock. Stock 200 cupos para Cursos Cortos, 200 cupos para Diplomados y 200 Cupos para Inscripcones. Consultar fechas de inicio de clases de cada programa en https://isil.pe/ed-ejecutiva/ El descuento del 40% aplica a todos los Cursos Cortos de Especialización y a todos los Diplomados. El descuento aplica sobre precio regular. Para acceder al beneficio el suscriptor deberá enviar foto de su documento de identidad y de la persona a inscribir al correo ee@isil.pe con el asunto CLUB EL COMERCIO para que le detallen el proceso de inscripción a seguir . Solo podrá acceder si tiene la condición de “Activo” (pagos al día). Este beneficio es válido para el suscriptor y/o familiares directos (esposa e hijos). Los participantes deberán aceptar las condiciones aplicables a la inscripción del alumno en el programas elegido al realizar el pago. Solo para mayores de 18 años y residentes en Perú. Descuento no acumulable ni válido con otras promociones y/o campañas. Este beneficio no es retroactivo, es decir, si no se indica al momento de la inscripción, no podrá solicitarlo luego. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier método de pago permitido por el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta75%Dscto.,75%,-75% EN INSCRIPCIÓN Y -50% PRIMERA MATRÍCUL...,https://clubelcomercio.pe/educacion-instituto-superior-san-ignacio-de-loyola-isil-carreras-inscripcion-y-matricula-13257,ISIL CARRERAS | INSCRIPCIÓN Y MATRÍCULA,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/educacion-instituto-superior-san-ignacio-de-loyola-isil-carreras-inscripcion-y-matricula-13257,Educación,"La exigencia del mercado continúa y la educación es un proceso continuo. Gracias al Club. El Instituto San Ignacio de Loyola, abre sus puertas para brindarle el 75% de dscto. en derecho de inscripción y 50% dscto. en primera matrícula en carreras técnicas: Área de Diseño, Comunicación, Marketing, entre otros. Y carreras en grado de bachiller: Marketing e Innovación, Comunicación Estratégica, Administración y Dirección de Negocios, entre otros.",Av. La Fontana 955 - La Molina,,Del 17 de enero al 31 de diciembre 2023,Acceda presentando su DNI e identificándose como suscriptor vía Email.,(01)  914733376,admision@isil.pe,http://isil.pe,"Promoción exclusiva para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y Gestión desde el 17 de enero (inscripciones); y de los paquetes Diarios y Todo Incluido de PeruQuiosco desde el 08 de marzo (inscripciones), al 31 de diciembre 2023 y/o hasta agotar stock. Stock 200 Cupos para Inscripcones. Consultar fechas de inicio de clases de los ciclos academicos en https://isil.pe/ Los Descuentos de 75% en Derecho de Inscripción y 50% en Primera Matricula aplica a todos las Carreras tecnicas y de Escuela Isil,  aplica sobre precio regular y SOLO para NUEVOS ALUMNOS. Para acceder al beneficio el suscriptor deberá enviar foto de su documento de identidad y de la persona a inscribir al correo ee@isil.pe con el asunto CLUB EL COMERCIO para que le detallen el proceso de inscripción a seguir . Solo podrá acceder si tiene la condición de “Activo” (pagos al día). Este beneficio es válido para el suscriptor y/o familiares directos (esposa e hijos). Los participantes deberán aceptar las condiciones aplicables a la inscripción del alumno en el programas elegido al realizar el pago. Solo para mayores de 18 años y residentes en Perú. Descuento no acumulable ni válido con otras promociones y/o campañas. Este beneficio no es retroactivo, es decir, si no se indica al momento de la inscripción, no podrá solicitarlo luego. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier método de pago permitido por el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
