descuento,descuento_valor,descuento_descripcion,url_establecimiento,nombre,facebook,categoria,descripcion,direccion,horario,vigencia,condicion,telefono,correo,web,terminos
25%Dscto.,25%,-25% EN ENTRADAS,https://clubelcomercio.pe/entretenimiento-teleticket-circo-sobre-hielo-13954,CIRCO SOBRE HIELO,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/entretenimiento-teleticket-circo-sobre-hielo-13954,Entretenimiento,"Copos de nieve y osos polares dan la bienvenida a una fascinante aventura invernal, que llega por primera vez al Perú con el Circo sobre Hielo. Gracias al Club, por esta semana obsen el 25% de dscto. en todas las entradas. Disfruta de una increíble combinación de patinaje artístico y destreza circense, que te deslumbrará con su habilidad para crear impresionantes patrones visuales, cargados de precisión, equilibrio y coordinación.",Av. Panamericana Sur s/n / Ref. Al costado del Jockey Club,,Del 16 de julio hasta el 20 de agosto,"Ingresa al link del evento, selecciona la tarifa CLUB EC y digita tu DNI para hacer tu compra",(01)  -,,http://teleticket.com.pe/circo-sobre-hielo-2023,"Descuento exclusivo para suscriptores impresos y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido para comprar del 16 de julio hasta el 20 de agosto y/o hasta agotar stock. Stock Total: 1500 entradas. El beneficio consiste en 25% de descuento en todas las zonas.  Sujeto a disponibilidad del evento. El descuento aplica para compras en la web y módulos de Teleticket. https://teleticket.com.pe/circo-sobre-hielo-2023 Para acceder al beneficio online el suscriptor iniciará sesión en la web de Teleticket y deberá seleccionar la tarifa ""Suscriptores El Comercio"", para compras en los módulos deberá presentar su documento de identidad. Además, deberá tener la condición de Activo (pagos al día). El suscriptor puede comprar como máximo 4 entradas para este evento. El stock real de la presente promoción solo se podrá consultar con la ticketera al realizar la compra en los módulos o por la web. La promoción es personal e intransferible, siendo necesario que el suscriptor esté presente para hacer efectiva la compra en los módulos. Este beneficio es válido con cualquier medio de pago que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del  organizador PRODARTES PERU S.A.C. con RUC 20547208316."
25%Dscto.,25%,-25% EN ENTRADAS,https://clubelcomercio.pe/entretenimiento-teleticket-circo-de-agua-manantia-13986,CIRCO DE AGUA MANANTIA,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/entretenimiento-teleticket-circo-de-agua-manantia-13986,Entretenimiento,"MANANTIA CIRCO DE AGUA, nos invita a sumergirnos en una aventura extraordinaria, visualmente impresionante que transporta al público a un mundo fantástico lleno de asombro y misticismo. Incorporando las disciplinas de nado sincronizado y clavado en una puesta en escena que combina todos los elementos de la naturaleza, aire, fuego, tierra y sobre todo AGUA. Con el Club accede al 25% dscto. en entradas. ¡Vive el suspenso, música en vivo, adrenalina, magia y más sorpresas!",COSTA VERDE - SAN MIGUEL,,Compras del 15 de julio hasta el 10 de septiembre del 2023,"Ingresa al link del evento, selecciona la tarifa Club EC y registra tu DNI.",(01)  -,,http://www.teleticket.com.pe/circo-manantia-2023,"Descuento exclusivo para suscriptores impresos y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Todo Diarios y Todo Incluido de PeruQuiosco. Descuento válido para comprar desde el 15 de julio hasta el 10 de septiembre del 2023 y/o hasta agotar stock. Stock Total: 1500 entradas. El beneficio consiste en 25% de descuento en las entradas. No aplica para los shows del 28 y 29 de julio 2023. El descuento aplica para compras en la web, módulos de Teleticket y/o boletería del circo (hasta 2 horas antes del inicio de cada función) . Link directo de compra de entradas: https://teleticket.com.pe/evento/querida-monserrat-querido-luciano Para acceder al beneficio online el suscriptor iniciará sesión en la web de Teleticket y deberá seleccionar la tarifa ""Suscriptores El Comercio"", para compras en los módulos deberá presentar su documento de identidad. Además, deberá tener la condición de Activo (pagos al día). El suscriptor puede comprar como máximo 5 entradas para este evento. El descuento aplica sobre el precio sin comisión de la ticketera. El stock real de la presente promoción solo se podrá consultar con la ticketera al realizar la compra en los módulos o por la web. La promoción es personal e intransferible, siendo necesario que el suscriptor esté presente para hacer efectiva la compra en los módulos. Este beneficio es válido con cualquier medio de pago que acepte el establecimiento. Promoción no acumulable con otras promociones. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
8%Dscto.,8%,-8% EN ENTRADAS,https://clubelcomercio.pe/entretenimiento-teleticket-steve-hackett-genetics-13997,STEVE HACKETT & GENETICS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/entretenimiento-teleticket-steve-hackett-genetics-13997,Entretenimiento,"El legendario STEVE HACKETT, guitarrista original de Genesis, regresa como parte del South American Tour 2023, junto a la banda argentina GENETICS interpretarán el célebre álbum doble en vivo de Genesis, Seconds Out, el último en el que participó el guitarrista. Gracias al Club, obtén 8% dscto. en entradas. Esta es una gran oportunidad para los amantes de la música de Genesis y el legado de Steve Hackett.",GRAN TEATRO NACIONAL,,12 de agosto 2023,Ingresa al link del evento y registra tu DNI en la tarifa Club EC o preséntalo en los módulos de teleticket.,(01)  -,,https://teleticket.com.pe/evento/steve-hackett-junto-a-genetics,"Descuento exclusivo para suscriptores impresos y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Todo Diarios y Todo Incluido de PeruQuiosco. Descuento válido para comprar desde el 14 de julio al 12 de agosto 2023 y/o hasta agotar stock. Stock Total: 200 entradas. El beneficio consiste en 8% de descuento en las entradas. El descuento aplica para compras en la web y/o módulos de Teleticket. Link directo de compra de entradas: https://teleticket.com.pe/evento/steve-hackett-junto-a-genetics Para acceder al beneficio online el suscriptor iniciará sesión en la web de Teleticket y deberá seleccionar la tarifa ""Suscriptores El Comercio"", para compras en los módulos deberá presentar su documento de identidad. Además, deberá tener la condición de Activo (pagos al día). El suscriptor puede comprar como máximo 4 entradas para este evento. El descuento aplica sobre el precio sin comisión de la ticketera.  El stock real de la presente promoción solo se podrá consultar con la ticketera al realizar la compra en los módulos o por la web.  La promoción es personal e intransferible, siendo necesario que el suscriptor esté presente para hacer efectiva la compra en los módulos. Este beneficio es válido con cualquier medio de pago que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
8%Dscto.,8%,-8% EN ENTRADAS,https://clubelcomercio.pe/entretenimiento-teleticket-alexander-malofeev-13987,ALEXANDER MALOFEEV,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/entretenimiento-teleticket-alexander-malofeev-13987,Entretenimiento,"¡Prepárense para una noche mágica de música clásica en Lima! El renombrado y aclamado pianista ruso, Alexander Malofeev llega a Lima y nos envolverá con las obras más fascinantes y hermosas del repertorio pianístico, desde Bach-Feinberg, hasta Scriabin, pasando por Wagner-Liszt,Weinberg y Rachmaninoff. Gracias al Club, obtén un 8% dscto. en entradas. ¡Ven y sé testigo de la grandeza de Alexander Malofeev, mientras nos sumergimos en la delicadeza y el virtuosismo que solo él puede ofrecer!",AUDITORIO SANTA URSULA - SAN ISIDRO,,17 de agosto 2023,Ingresa al link del evento y registra tu DNI en la tarifa Club EC o preséntalo en los módulos de teleticket.,(01)  -,,https://teleticket.com.pe/evento/alexander-malofeev-auditorio-santa-ursula,"Descuento exclusivo para suscriptores impresos y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Todo Diarios y Todo Incluido de PeruQuiosco. Descuento válido para comprar desde el 13 de julio al 17 de agosto 2023 y/o hasta agotar stock. Stock Total: 200 entradas. El beneficio consiste en 8% de descuento en las entradas. El descuento aplica para compras en la web y/o módulos de Teleticket. Link directo de compra de entradas: https://teleticket.com.pe/evento/alexander-malofeev-auditorio-santa-ursula Para acceder al beneficio online el suscriptor iniciará sesión en la web de Teleticket y deberá seleccionar la tarifa ""Suscriptores El Comercio"", para compras en los módulos deberá presentar su documento de identidad. Además, deberá tener la condición de Activo (pagos al día). El suscriptor puede comprar como máximo 4 entradas para este evento. El descuento aplica sobre el precio sin comisión de la ticketera.  El stock real de la presente promoción solo se podrá consultar con la ticketera al realizar la compra en los módulos o por la web.  La promoción es personal e intransferible, siendo necesario que el suscriptor esté presente para hacer efectiva la compra en los módulos. Este beneficio es válido con cualquier medio de pago que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
25%Dscto.,25%,-25% EN ENTRADAS,https://clubelcomercio.pe/entretenimiento-teleticket-el-circo-de-karina-y-timoteo-13945,EL CIRCO DE KARINA Y TIMOTEO,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/entretenimiento-teleticket-el-circo-de-karina-y-timoteo-13945,Entretenimiento,"Karina y Timoteo regresan a los escenarios con su nuevo espectáculo de circo “Volvamos a soñar”, deléitate con el elenco de los infaltables payasos, “Plumilla” “Picoleta” y “Drompy” una mezcla de ternura y carcajadas, además, desde su laboratorio, con sus disparatadas ocurrencias el “Profesor Otto” ¿Qué sorpresas habrá preparado? Gracias al Club, obtén 25% dscto. en todas las zonas. No aplica zona General y Cultural. ¡Que tus pequeños sientan la misma alegría que sentías tú cuando eras niño!",Jockey YOY Lima Box Park,,Del 16 de junio al 03 de setiembre,Ingresa al Link del evento y registra tu DNI en la tarifa del Club al comprar tu entrada.,(01)  -,,https://teleticket.com.pe/circo-de-karina-y-timoteo-2023,"Descuento exclusivo para suscriptores impresos y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido para comprar del 11 de julio hasta el 03 de setiembre y/o hasta agotar stock. Stock Total: 1000 entradas. No válido 28 y 29 de julio; ni 20 de agosto en la funciones de 5 y 8 pm El beneficio consiste en 25% de descuento en todas las zonas a excepción de las localidades General y Cultural.  Sujeto a disponibilidad del evento. El descuento aplica para compras en la web y módulos de Teleticket.  No aplica con otras promociones. Link directo de compra de entradas: https://teleticket.com.pe/circo-de-karina-y-timoteo-2023 Para acceder al beneficio online el suscriptor iniciará sesión en la web de Teleticket y deberá seleccionar la tarifa ""Suscriptores El Comercio"", para compras en los módulos deberá presentar su documento de identidad. Además, deberá tener la condición de Activo (pagos al día). El suscriptor puede comprar como máximo 4 entradas para este evento. El stock real de la presente promoción solo se podrá consultar con la ticketera al realizar la compra en los módulos o por la web. La promoción es personal e intransferible, siendo necesario que el suscriptor esté presente para hacer efectiva la compra en los módulos. Este beneficio es válido con cualquier medio de pago que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del organizador."
25%Dscto.,25%,-25% EN ENTRADAS,https://clubelcomercio.pe/entretenimiento-joinnus-circo-tsaurios-13951,CIRCO TSAURIOS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/entretenimiento-joinnus-circo-tsaurios-13951,Entretenimiento,"Tsaurios, una aventura fantástica resulta una experiencia extraordinaria para grandes y chicos, peruanos apasionados con la misteriosa existencia y desaparición de los dinosaurios. Emocionantes episodios con Triceratops, Tyrannosaurus, Braquiosaurios y otras criaturas insólitas alcanzan su máxima emoción cuando interactúan con el público. Gracias al Club, obtén el 25% de dscto en todas las entradas. ¡No te pierdas esta gran experiencia!",Av. Panamericana Sur s/n / Ref. Al costado del Jockey Club,,Compras del 10 de julio hasta el 03 de septiembre,"Ingresa al link del evento, selecciona la tarifa CLUB EC y digita tu DNI para hacer tu compra",(01)  -,,https://www.joinnus.com/events/entertainment/lima-circo-tsaurios-2023-55535,"Descuento exclusivo para suscriptores impresos y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido para comprar del 10 de julio hasta el 03 de setiembre y/o hasta agotar stock. Stock Total: 1500 entradas. El beneficio consiste en 25% de descuento en todas las zonas.  Sujeto a disponibilidad del evento. El descuento aplica para compras en la web de Joinnus. Link directo de compra de entradas: https://www.joinnus.com/events/entertainment/lima-circo-tsaurios-2023-55535 Para acceder al beneficio, el suscriptor y/o beneficiario deberá ingresar a la web de Joinnus, seleccionar el evento, elegir la tarifa Club de Suscriptores en la sección Códigos de Descuento y registrar su tipo + n° de documento. Además, deberá tener la condición de Activo (Pagos al día). La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario realice la compra para hacer efectiva la promoción. El suscriptor puede comprar como máximo 6 entradas para este evento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del organizador PRODARTES PERU S.A.C. con RUC 20547208316."
25%Dscto.,25%,-25% EN ENTRADAS,https://clubelcomercio.pe/entretenimiento-teleticket-gran-circo-del-mundo-13952,GRAN CIRCO DEL MUNDO,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/entretenimiento-teleticket-gran-circo-del-mundo-13952,Entretenimiento,"El Gran Circo del mundo presentando Fantastic, 15 actos, 50 artistas galardonados te sorprenderán. Actos de Rusia, China, Mongolia, USA entre otras 10 nacionalidades. Gracias al Club, obtén el 25% de dscto. en todas las zonas. Los más grandes artistas de circo del mundo te mostrarán que lo imposible puede hacerse realidad, caminando sobre una cuerda floja, superando lo extremo, desafiando la gravedad.",Av. Panamericana Sur s/n / Ref. Al costado del Jockey Club,,Compras del 10 al 27 de agosto y/o hasta agotar stock.,"Ingresa al link del evento, selecciona la tarifa CLUB EC y digita tu DNI para hacer tu compra",(01)  -,,https://teleticket.com.pe/gran-circo-del-mundo-2023,"Descuento exclusivo para suscriptores impresos y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido para comprar del 10 de julio al 27 de agosto y/o hasta agotar stock. Stock Total: 1500 entradas. El beneficio consiste en 25% de descuento en todas las zonas.  Sujeto a disponibilidad del evento. El descuento aplica para compras en la web y módulos de Teleticket. Link directo de compra de entradas: https://teleticket.com.pe/gran-circo-del-mundo-2023 Para acceder al beneficio online el suscriptor iniciará sesión en la web de Teleticket y deberá seleccionar la tarifa ""Suscriptores El Comercio"", para compras en los módulos deberá presentar su documento de identidad. Además, deberá tener la condición de Activo (pagos al día). El suscriptor puede comprar como máximo 4 entradas para este evento. El stock real de la presente promoción solo se podrá consultar con la ticketera al realizar la compra en los módulos o por la web. La promoción es personal e intransferible, siendo necesario que el suscriptor esté presente para hacer efectiva la compra en los módulos. Este beneficio es válido con cualquier medio de pago que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del organizador PRODARTES PERU S.A.C. con RUC 20547208316."
15%Dscto.,15%,-15% EN ENTRADAS,https://clubelcomercio.pe/entretenimiento-teleticket-la-zorra-vanidosa-13907,LA ZORRA VANIDOSA,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/entretenimiento-teleticket-la-zorra-vanidosa-13907,Entretenimiento,"La Zorra Vanidosa. Un clásico peruano para toda la familia. Tiene una hermosa cola y su única preocupación es cuidarla para que todos la admiren, tampoco trabaja y miente a los vecinos para quitarles su comida, pero deciden quitársela para acabar con sus abusos, con el club obtén 15% dscto. en entradas General, Niños y Adulto mayor. ¿Recuperará la zorra su cola? Indaga en esta obra interactiva, entre juegos, humor y diversión.",Centro Cultural CAFAE-SE ,avenida Arequipa 2985- San Isidro . Sab-Dom: 5pm,Del 05 al 23 de julio 2023,Ingresa al link del evento y digita tu documento de identidad en la tarifa Club.,(01)  -,,https://www.joinnus.com/events/theater/lima-la-zorra-vanidosa-clasico-peruano-del-teatro-para-ninos-55647,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido para comprar del 05 al 23 de julio 2023 y/o hasta agotar stock de 200 entradas para esta promoción. El beneficio consiste en 15% de descuento en las entradas en entradas general, niños y adulto mayor. Sujeto a stock disponible, consultar stock real con la ticketera. Aplica para funsiones los sábados y domingos a las 3p.m. El descuento aplica para compras en la web de Joinnus. Link directo de compra de entradas: https://www.joinnus.com/events/theater/lima-la-zorra-vanidosa-clasico-peruano-del-teatro-para-ninos-55647 Para acceder al beneficio, el suscriptor y/o beneficiario deberá ingresar a la web de Joinnus, seleccionar el evento, elegir la tarifa Club El Comercio y registrar su DNI. Además, deberá tener la condición de Activo (Pagos al día). La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario realice la compra para hacer efectiva la promoción. El suscriptor puede comprar como máximo 4 entradas para este evento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
15%Dscto.,15%,-15% EN ENTRADAS,https://clubelcomercio.pe/entretenimiento-ticketmaster-peru-s-a-la-tarumba-camborio-13852,"LA TARUMBA ""CAMBORIO""",https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/entretenimiento-ticketmaster-peru-s-a-la-tarumba-camborio-13852,Entretenimiento,"¡Camborio: celebramos la pasión por el circo! Una nueva puesta en escena que busca celebrar la vitalidad y la pasión de la cultura gitana y su profundo vínculo con el circo, donde nuestros sueños y fantasías se pueden hacer realidad. Con el club obtén 15% dscto. en entradas. No válido para funciones de 5:30pm ni feriados ni semana de Fiestas Patrias y Día del Niño. Vive la aventura y emoción, ya está dado el ruedo, es momento de celebrar sin parar ¡Bienvenidos todos y todas a Camborio!","C.C. Plaza Lima Sur, Chorrillos.",,Compras del 28 de junio al 03 de septiembre,Da clic a obtener cupón e ingresa el código al finalizar tu compra en la sección Suscriptores del link del evento o presenta tu DNI en los módulos,(01)  -,,https://www.ticketmaster.pe/event/tarumba,"Descuento exclusivo para suscriptores impresos y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido para comprar del 28 de junio (o desde que acabe el stock del beneficio 1) hasta el 03 de setiembre y/o hasta agotar stock. Stock Total: 1500 entradas. El beneficio consiste en 15% de descuento en las entradas para todas las zonas, sujeto a stock por función. El descuento no es válido para funciones de 5:30pm. No es válido para feriados, ni semana de Fiestas Patrias y Día del Niño. El descuento aplica sobre el precio sin comisión de la ticketera. El descuento aplica para compras en la web y puntos físicos de Ticketmaster. Link directo de compra de entradas: https://www.ticketmaster.pe/static/tarumba  Para acceder al beneficio online el suscriptor debe solicitar el código de descuento en la web/app del Club e ingresarlo en la web de Ticketmaster al realizar la compra. Para comprar en los módulos el suscriptor deberá estar presente y mostrar su documento de identidad. Además, deberá tener la condición de Activo (pagos al día). El suscriptor puede comprar como máximo 4 entradas para este evento. El stock real de la presente promoción solo se podrá consultar con la ticketera al realizar la compra en los módulos o por la web. La promoción es personal e intransferible, siendo necesario que el suscriptor esté presente para hacer efectiva la compra en los módulos. Este beneficio es válido con cualquier medio de pago que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento"
10%Dscto.,10%,-10% EN ENTRADA GENERAL,https://clubelcomercio.pe/entretenimiento-teleticket-feria-del-libro-13867,FERIA DEL LIBRO,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/entretenimiento-teleticket-feria-del-libro-13867,Entretenimiento,"El evento cultural más grande del Perú brindará un merecido homenaje al escritor peruano César Vallejo. Disfruta de nuestras más de 900 actividades culturales para a todas las edades: Presentaciones de libros, conciertos, exposiciones, homenajes, talleres, conversatorios, mesas redondas, presentaciones teatrales, y muchas más en un solo lugar. Con el club, obtén 10% dscto. en entrada general. Ven y encuentra a más de 70 escritores y artistas nacionales e internacionales.",Parque Próceres de Jesús María,,Del 21 de julio al 06 de agosto,Ingresa al link del evento y digita du DNI en la tarifa Club EC al hacer tu compra.,(01)  -,,https://teleticket.com.pe/feria-del-libro-2023,"Descuento exclusivo para suscriptores impresos y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido para comprar del 30 de junio hasta el 06 de agosto 2023 y/o hasta agotar stock. Stock Total: 50,000 entradas. El beneficio consiste en 10% de descuento en la entrada general. Sujeto a disponibilidad del evento. El descuento aplica para compras en la web de Teleticket. Link directo de compra de entradas: https://teleticket.com.pe/feria-del-libro-2023. Para acceder al beneficio, el suscriptor y/o beneficiario deberá ingresar a la web de Teleticket, seleccionar el evento, elegir la tarifa Club de Suscriptores en la sección Códigos de Descuento y registrar su tipo y n° de documento. Además, deberá tener la condición de Activo (Pagos al día). La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario realice la compra para hacer efectiva la promoción. El suscriptor puede adquirir hasta máximo 3 entradas para este evento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
