descuento,descuento_valor,descuento_descripcion,url_establecimiento,nombre,facebook,categoria,descripcion,direccion,horario,vigencia,condicion,telefono,correo,web,terminos
Adic.20%Dscto.,20%,-20% ADICIONAL EN SU WEB,https://clubelcomercio.pe/hogar-record-record-13955,RECORD,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/hogar-record-record-13955,Hogar,"Record, la marca peruana líder en soluciones para mejorar la vida cotidiana con innovaciones para tu cocina. Accede a miles de productos para hacer más eficiente y eficaces tus tareas en tu cocina como menajes, lavaderos, electrodomésticos y accesorios que están esperando por ti. Gracias al Club, obtén 20% de descuento adicional en toda su web. Record, por generaciones los mejores.",Beneficio Online,,Del 12 de julio al 30 de setiembre.,Da clic a obtener cupón y regístralo en la web de Record,(01)  016184100,servicioalcliente@record.com.pe,https://www.record.com.pe/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del Del 12 de julio al 30 de setiembre 2023. Esta promoción esta sujeta a stock disponible. Stock: 200 cupones. El beneficio consiste en 20% de descuento adicional en toda la web. Aplica en el total de la compra. Válido únicamente para comprar en la web de RECORD. No existe monto mínimo de compra. Para acceder al beneficio, el suscriptor deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el código que ingresará en la web de RECORD: https://www.record.com.pe/ . Además, deberá tener la condición de “Activo”. El descuento del Club no aplica al servicio de delivery, este tiene un costo adicional que será indicado por el establecimiento al momento de la compra. Consultar con el establecimiento mayores detalles respecto al servicio del delivery. RECORD® se reserva el derecho de cancelar órdenes que considere fraudulentas. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario realice la compra para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Este beneficio es válido con cualquier medio de pago permitido por el establecimiento. Promoción no acumulable con otros vales y/o cupones vigentes. Aplican restricciones según las disposiciones del gobierno. En el supuesto en que por un error involuntario o evento fuera de control, RECORD® se reserva el derecho de cancelar la compra -mientras se encuentre en proceso- cuando note un posible ánimo de fraude por parte del usuario o cuando verifique un error tipográfico en el precio de los productos. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta20%Dscto.,20%,HASTA -20% EN MALETAS SAMSONITE,https://clubelcomercio.pe/hogar-samsonite-house-of-samsonite-fiestas-patrias-13914,HOUSE OF SAMSONITE | FIESTAS PATRIAS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/hogar-samsonite-house-of-samsonite-fiestas-patrias-13914,Hogar,¡Encuentra lo mejor en equipaje con una calidad de primera y variedad para todos los gustos! Ahora con el Club podrás obtener 20% de descuento en maletas medianas o de 23kg de la línea Varro y 10% de descuento en todos los productos de la línea Travel de Samsonite. ¡No te pierdas esta oportunidad especial por fiestas patrias y elige el complemento ideal para tus viajes!,"Jockey Plaza, San Miguel,Plaza Norte, Mall Plaza Trujillo,Larcomar, Oulett Faucett",,Del 05 al 31 de julio 2023,Realiza la compra en sus locales con tu DNI.,(01)  016371502,servicio.alcliente@samsonite.com,http://houseofsamsonite.com.pe,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Valido del 05 al 31 de julio 2023. Esta promoción está sujeta a stock disponible. El beneficio consiste en 20% de descuento en maletas medianas o de 23kg de la línea Varro y 10% de descuento en todos los productos de la línea Travel de Samsonite. La promoción aplica para comprar en tienda física. Para acceder al beneficio, el suscriptor/beneficiario deberá estar presente y mostrar su documento de identidad oficial físico (de ser el caso). Además, deberán tener la condición de “Activos” (pagos al día). La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Este beneficio es válido con cualquier medio de pago permitido por el establecimiento. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
20%Dscto.,20%,-20% EN LA TIENDA VIRTUAL,https://clubelcomercio.pe/hogar-thermos-thermos-13848,THERMOS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/hogar-thermos-thermos-13848,Hogar,"Los especialistas en contenedores de alimentos y bebidas excepcionalmente duraderos te ofrecen esta increíble promoción. Ahora con el Club El Comercio, aprovecha del 20% de dscto. en toda la tienda virtual, incluyendo la línea premium. Sujeto a stock disponible. No aplica para productos en promoción o liquidación ni para combos. Válido para compras en la web de Thermos. ¡Aprovecha este beneficio!",Beneficio Online,,Del 01 de julio al 31 de diciembre 2023,"Inicia tu sesión, genera tu cupón e ingresa el código en la web de Thermos al realizar la compra.",(01)   016595959 ANEXO 111,servicioalcliente@tdpcorp.com.pe,http://www.thermos.pe/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 01 de julio al 31 de diciembre 2023. El 20% aplica en toda la tienda virtual incluyendo línea premium. Sujeto a stock disponible. No aplica para productos en promoción o liquidación, ni para combos. La promoción aplica únicamente para comprar en la web. Para acceder en la web, el suscriptor deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el código que ingresará en la web de Thermos: https://www.thermos.pe/ al realizar la compra. Podrán solicitar el cupón virtual los suscriptores que cuenten con la condición de “Activos” (Pagos al día). El suscriptor podrá comprar como máximo dos unidades por SKU, es decir, máximo 02 unidades del mismo producto. El descuento no aplica al servicio de delivery. El servicio de delivery tiene un costo adicional que será informado por el establecimiento al momento de la compra. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario realice la compra para hacer efectiva la promoción. Para información detallada sobre los términos y condiciones de la tienda virtual ingrese a: https://www.thermos.pe/terminos-y-condiciones. Esta promoción es válida con cualquier medio de pago permitido en la web de Thermos. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
15%Dscto.,15%,-15% EN BALÓN DE GAS DE 10KG.,https://clubelcomercio.pe/hogar-primax-gas-primaxgas-13860,PRIMAXGAS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/hogar-primax-gas-primaxgas-13860,Hogar,"Primax Gas es una empresa orientada en satisfacer las necesidades de Gas Licuado de Petróleo (GLP) en hogares, industrias y comercios. Cuentan con una red de distribuidores de GLP envasado en la ciudad de Lima y cobertura de GLP granel a nivel nacional. Ahora podrás acceder al 15% de dscto. en la compra de recargas de balones de gas de 10kg (normal o premium).","Lima, Callao, Piura, Chincha, Pisco, Trujillo, Chiclayo, Arequipa (Metropolitana) y Ayacucho.",,Del 01 de julio al 31 de diciembre 2023.,Realiza tu pedido vía telefónica o whatsapp e identifícate como suscriptor con tu documento de identidad.,(01)  012080100 | 978292052 L-S 7am-7pm | D 7am-4pm,No disponible,https://bit.ly/3af1WzP,"Descuento exclusivos para suscriptores de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión, y de los paquetes Diarios y Todo Incluido de Peru Quiosco. Válido del 01 de julio al 31 de diciembre 2023. El descuento aplica en recargas de balones gas de 10kg. El descuento del 15% aplica sobre el precio regular. Válido para compras solo por la Central de Pedidos. Para acceder al beneficio, el suscriptor deberá realizar su pedido vía telefónica o whatsapp indicando su documento de identidad y tener la condición de “Activos”. No hay costo de delivery adicional. Aplica para pedidos en Jesús María, San Isidro, Magdalena, San Borja, La Victoria, San Miguel, Breña, Pueblo Libre, Surco, Rímac, Lince, Cercado (Santa Beatriz), Miraflores, Chorrillos, Independencia, La Molina, La Punta, Bellavista, Carmen de la Legua, La Perla & Prov. Constitucional del Callao y en provincias: Piura, Chincha, Pisco, Trujillo, Chiclayo, Arequipa (Metropolitana) y Ayacucho. Sujeto a zonas de reparto, consultar con Primax Gas al realizar el pedido. El suscriptor podrá acceder 20 veces como máximo a la presente promoción. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Los precios del balón de gas están sujetos a variación. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción, cuya responsabilidad es exclusiva del establecimiento."
10%Dscto.,10%,-10% EN BALONES DE GAS,https://clubelcomercio.pe/hogar-costagas-costagas-13900,COSTAGAS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/hogar-costagas-costagas-13900,Hogar,CostaGas brinda a sus clientes productos de alta calidad y seguridad teniendo como objetivo la excelencia en su servicio. Accede al 10% de dscto. en balones de gas de 10 kg en distritos seleccionados de Lima y 5% de dscto. en balones de gas de 10kg en Chiclayo. Solo aplica para Lima y Chiclayo y en modalidad delivery. Sujeto a stock disponible. Adquiérelo de L- S de 6 am a 8 pm y domingos y feriados de 7 am a 6 pm. Aplica para feriados/festivos. Revisa las zonas de cobertura en Más Info.,Delivery a Domicilio.,,Del 01 de julio al 31 de diciembre 2023.,Solicita el beneficio por teléfono indicanto tu documento de identidad.,(01)  Lima: 016269999 | Chiclayo: 074203939,,http://www.costagas.com.pe,"Descuentos exclusivos para suscriptores de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión, y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del  01 de julio al 31 de diciembre 2023. El beneficio consiste en 10% de descuento en la compra de balones de 10kg en distritos seleccionados de Lima y 5% en la compra de balones de 10kg en Chiclayo. Para acceder al beneficio, el suscriptor al momento de la llamada debe indicar su DNI u otro documento de identificación oficial, Además, deberá tener la condición de “Activos”. Válido sólo para servicio delivery. No hay costo de delivery adicional. Aplica para delivery solo en Lima y Chiclayo. Sujeto a zonas de reparto, consultar con el establecimiento. Válido todos los días según horario de atención regular. (Lunes a Sábado de 6.00 am a 8:00pm | Domingo y feriados de 7am a 6:00pm). Aplica en feriados/festivos sin excepción. El servicio/producto puede ser adquirido para un tercero (amigo o familiar). Máximo 2 compras de gas por suscriptor por mes. Balón de gas 10kg aplica para válvula normal y/o premium. Medios de pago válidos: sólo efectivo y/o transferencia a cuenta de Costagas. El pago se realizará posterior a la verificación del suscriptor vía telefónica. Al recibir el nuevo balón es necesario entregar el balón ya usado al personal de CostaGas. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Los precios están sujetos a variación consultar la tarifa final con el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción, cuya responsabilidad es exclusiva del establecimiento."
15%Dscto.,15%,-15% EN AGUA DE 7LT y 20 LT,https://clubelcomercio.pe/hogar-hipermercados-tottus-s-a-tottus-agua-de-7lt-y-20-lt-13798,TOTTUS | AGUA DE 7LT y 20 LT,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/hogar-hipermercados-tottus-s-a-tottus-agua-de-7lt-y-20-lt-13798,Hogar,"Tottus, la cadena de supermercados que te da más por menos te ofrece 15% en Agua 7Lt y 20Lt. Máximo 6 unidades por compra. Máximo 1 compra por cliente.  Aplica a todas las marcas. Para disfrutar de este beneficio, genera tu cupón y preséntalo en tiendas. Si registraste tus datos en https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio, sólo presenta tu DNI en caja. Revisar T&C. ¡No dejar pasar esta promoción!",Tiendas Tottus de Lima y Callao,,Del 10 de junio al 31 de julio 2023,Genera tu cupón y preséntalo de forma física / virtual en la tiendas TOTTUS o si te encuentras registrado presenta tu DNI en caja.,(01)  -,,https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio,"Descuentos para miembros del Club El Comercio. Válidos del 10/06/23 al 31/07/23 y/o hasta agotar stock de cada promoción. Válido en Hipermercados Tottus: Angamos, Atocongo, Avenida Central, Bellavista, Comandante Espinar, Calle 7, Campoy, Canta Callao, Comas, Dominicos, El Agustino, Huaylas, Jockey Plaza, La Fontana, La Marina, Las Begonias, Lima Centro, Lima Sur, Los Olivos, Mega Plaza, Miraflores, Pachacútec, Próceres, Puente Piedra, Puruchuco, Quilca, Sáenz Peña, San Hilarión, San Luis, Santa Anita, Tusilagos, Villa El Salvador, Zorritos. Promoción para consumo familiar y/o hasta agotar stock. No aplica para compras por la web, ni Fazil, ni para compras en Tottus ni en falabella.com. Todos los descuentos aplican sobre precio regular y no son acumulables con otras promociones. Stock disponible según categoría de descuento, sujeto a disponibilidad de tienda. Aplican restricciones por categoría. Fotos referenciales. 15% en Agua 7Lt y 20Lt. Máximo 6 unidades por compra. Máximo 1 compra por cliente. Aplica a todas las marcas. Stock: 500 unidades en total. Para acceder al beneficio, el suscriptor deberá solicitar el cupón de cada promoción que desee canjear, ingresando a la Web o App del Club El Comercio y presentarlo de forma física o virtual en las cajas al realizar el pago. Si el suscriptor ya está registrado en la landing https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio , sólo deberá proporcionar su DNI en las cajas de las tiendas físicas al realizar el pago. En ambos casos deberá tener su suscripción “Activa” (pagos al día). Válido con cualquier medio de pago que acepte Tottus. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
10%Dscto.,10%,-10% EN ALIMENTOS PARA MASCOTAS,https://clubelcomercio.pe/hogar-hipermercados-tottus-s-a-tottus-alimentos-para-mascotas-13799,TOTTUS | ALIMENTOS PARA MASCOTAS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/hogar-hipermercados-tottus-s-a-tottus-alimentos-para-mascotas-13799,Hogar,"Tottus, la cadena de supermercados que te da más por menos te ofrece 10% de dscto. en Alimentos para Mascotas. Máx. 6 unidades por compra. Máx. 2 compras por cliente.  Aplica a todas las marcas. Para disfrutar de este beneficio, genera tu cupón y preséntalo en tiendas. Si registraste tus datos en https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio , sólo presenta tu DNI en caja. Revisar T&C. ¡No dejar pasar esta promoción!",Tiendas Tottus de Lima y Callao,,Del 10 de junio al 31 de julio 2023,Genera tu cupón y preséntalo de forma física / virtual en la tiendas TOTTUS o si te encuentras registrado presenta tu DNI en caja.,(01)  No disponible,,https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio,"Descuentos para miembros del Club El Comercio. Válidos del 10/06/23 al 31/07/23 y/o hasta agotar stock de cada promoción. Válido en Hipermercados Tottus: Angamos, Atocongo, Avenida Central, Bellavista, Comandante Espinar, Calle 7, Campoy, Canta Callao, Comas, Dominicos, El Agustino, Huaylas, Jockey Plaza, La Fontana, La Marina, Las Begonias, Lima Centro, Lima Sur, Los Olivos, Mega Plaza, Miraflores, Pachacútec, Próceres, Puente Piedra, Puruchuco, Quilca, Sáenz Peña, San Hilarión, San Luis, Santa Anita, Tusilagos, Villa El Salvador, Zorritos. Promoción para consumo familiar y/o hasta agotar stock. No aplica para compras por la web, ni Fazil, ni para compras en Tottus ni en falabella.com. Todos los descuentos aplican sobre precio regular y no son acumulables con otras promociones. Stock disponible según categoría de descuento, sujeto a disponibilidad de tienda. Aplican restricciones por categoría. Fotos referenciales. 10% en alimentos para mascotas. Máximo 6 unidades por compra. Máximo 2 compras por cliente.  Aplica a todas las marcas. Stock: 1000 unidades en total. Para acceder al beneficio, el suscriptor deberá solicitar el cupón de cada promoción que desee canjear, ingresando a la Web o App del Club El Comercio y presentarlo de forma física o virtual en las cajas al realizar el pago. Si el suscriptor ya está registrado en la landing https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio , sólo deberá proporcionar su DNI en las cajas de las tiendas físicas al realizar el pago. En ambos casos deberá tener su suscripción “Activa” (pagos al día). Válido con cualquier medio de pago que acepte Tottus. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
25%Dscto.,25%,-25% EN CORTES DE RES PORTERHOUSE,https://clubelcomercio.pe/hogar-hipermercados-tottus-s-a-tottus-cortes-de-res-porterhouse-13800,TOTTUS | CORTES DE RES PORTERHOUSE,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/hogar-hipermercados-tottus-s-a-tottus-cortes-de-res-porterhouse-13800,Hogar,"Tottus, la cadena de supermercados que te da más por menos te ofrece. 25% en Cortes de Res Porterhouse. Máximo 1 compra por cliente al mes. Máximo 3kg por cliente. Para disfrutar de este beneficio, genera tu cupón y preséntalo en tiendas. Si registraste tus datos en https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio , sólo presenta tu DNI en caja. ¡No dejes pasar esta promoción!",Tiendas Tottus de Lima,,Del 10 de junio al 31 de julio 2023,Genera tu cupón y preséntalo de forma física / virtual en la tiendas TOTTUS o si te encuentras registrado presenta tu DNI en caja.,(01)  No disponible,,https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio,"scuentos para miembros del Club El Comercio. Válidos del 10/06/23 al 31/07/23 y/o hasta agotar stock de cada promoción. Válido en Hipermercados Tottus: Las Begonias, La Marina, La Fontana, Angamos, San Luis, Calle 7, Comandante Espinar, Arequipa Cayma, Miraflores. Promoción para consumo familiar y/o hasta agotar stock. No aplica para compras por la web, ni Fazil, ni para compras en Tottus ni en falabella.com. Todos los descuentos aplican sobre precio regular y no son acumulables con otras promociones. Stock disponible según categoría de descuento, sujeto a disponibilidad de tienda. Aplican restricciones por categoría. Fotos referenciales. 25% en Cortes de Res Porterhouse. Máximo 3kg por cliente. Máximo 1 compra por cliente al mes. Stock mín.:10kg en total. Para acceder al beneficio, el suscriptor deberá solicitar el cupón de cada promoción que desee canjear, ingresando a la Web o App del Club El Comercio y presentarlo de forma física o virtual en las cajas al realizar el pago. Si el suscriptor ya está registrado en la landing https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio , sólo deberá proporcionar su DNI en las cajas de las tiendas físicas al realizar el pago. En ambos casos deberá tener su suscripción “Activa” (pagos al día). Válido con cualquier medio de pago que acepte Tottus. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
25%Dscto.,25%,-25% EN CHORIZOS Y HAMBURGUESAS PARRILLERAS,https://clubelcomercio.pe/hogar-hipermercados-tottus-s-a-tottus-chorizos-y-hamburguesas-parrilleras-13801,TOTTUS | CHORIZOS Y HAMBURGUESAS PARRILLERAS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/hogar-hipermercados-tottus-s-a-tottus-chorizos-y-hamburguesas-parrilleras-13801,Hogar,"Tottus, la cadena de supermercados que te da más por menos te ofrece 25% de dscto. en Chorizos y Hamburguesas Parrilleras. Máximo 6 unidades de cada categoría por compra. Máximo una compra por cliente. Aplica a todas las marcas. Para disfrutar de este beneficio, genera tu cupón y preséntalo en tiendas. Si registraste tus datos en https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio, sólo presenta tu DNI en caja. Revisar T&C. ¡No dejar pasar esta promoción!",Tiendas Tottus de Lima y Callao,,Del 10 de junio al 31 de julio 2023,Genera tu cupón y preséntalo de forma física / virtual en la tiendas TOTTUS o si te encuentras registrado presenta tu DNI en caja.,(01)  -,,https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio,"Descuentos para miembros del Club El Comercio. Válidos del 10/06/23 al 31/07/23 y/o hasta agotar stock de cada promoción. Válido en Hipermercados Tottus: Angamos, Atocongo, Avenida Central, Bellavista, Comandante Espinar, Calle 7, Campoy, Canta Callao, Comas, Dominicos, El Agustino, Huaylas, Jockey Plaza, La Fontana, La Marina, Las Begonias, Lima Centro, Lima Sur, Los Olivos, Mega Plaza, Miraflores, Pachacútec, Próceres, Puente Piedra, Puruchuco, Quilca, Sáenz Peña, San Hilarión, San Luis, Santa Anita, Tusilagos, Villa El Salvador, Zorritos. Promoción para consumo familiar y/o hasta agotar stock. No aplica para compras por la web, ni Fazil, ni para compras en Tottus ni en falabella.com. Todos los descuentos aplican sobre precio regular y no son acumulables con otras promociones. Stock disponible según categoría de descuento, sujeto a disponibilidad de tienda. Aplican restricciones por categoría. Fotos referenciales. 25% en Chorizos y Hamburguesas Parrilleras. Máximo 6 unidades de cada categoría por compra. Máximo 1 compra por cliente.  Aplica a todas las marcas. Stock: 500 unidades en total. Para acceder al beneficio, el suscriptor deberá solicitar el cupón de cada promoción que desee canjear, ingresando a la Web o App del Club El Comercio y presentarlo de forma física o virtual en las cajas al realizar el pago. Si el suscriptor ya está registrado en la landing https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio , sólo deberá proporcionar su DNI en las cajas de las tiendas físicas al realizar el pago. En ambos casos deberá tener su suscripción “Activa” (pagos al día). Válido con cualquier medio de pago que acepte Tottus. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
20%Dscto.,20%,-20% EN CONSERVAS DE PESCADO TOTTUS,https://clubelcomercio.pe/hogar-hipermercados-tottus-s-a-tottus-conservas-de-pescado-13802,TOTTUS | CONSERVAS DE PESCADO,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/hogar-hipermercados-tottus-s-a-tottus-conservas-de-pescado-13802,Hogar,"Tottus, la cadena de supermercados que te da más por menos te ofrece 20% de dscto. en Conservas de pescado marca Tottus. Máximo 6 unidades por compra. Máximo 2 compra por cliente.  Aplica a marca Tottus. Para disfrutar de este beneficio, genera tu cupón y preséntalo en tiendas. Si registraste tus datos en https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio , sólo presenta tu DNI en caja. Revisar T&C. ¡No dejar pasar esta promoción!",Tiendas Tottus de Lima y Callao,,Del 10 de junio al 31 de julio 2023,Genera tu cupón y preséntalo de forma física / virtual en la tiendas TOTTUS o si te encuentras registrado presenta tu DNI en caja.,(01)  No disponible,,https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio,"Descuentos para miembros del Club El Comercio. Válidos del 10/06/23 al 31/07/23 y/o hasta agotar stock de cada promoción. Válido en Hipermercados Tottus: Angamos, Atocongo, Avenida Central, Bellavista, Comandante Espinar, Calle 7, Campoy, Canta Callao, Comas, Dominicos, El Agustino, Huaylas, Jockey Plaza, La Fontana, La Marina, Las Begonias, Lima Centro, Lima Sur, Los Olivos, Mega Plaza, Miraflores, Pachacútec, Próceres, Puente Piedra, Puruchuco, Quilca, Sáenz Peña, San Hilarión, San Luis, Santa Anita, Tusilagos, Villa El Salvador, Zorritos. Promoción para consumo familiar y/o hasta agotar stock. No aplica para compras por la web, ni Fazil, ni para compras en Tottus ni en falabella.com. Todos los descuentos aplican sobre precio regular y no son acumulables con otras promociones. Stock disponible según categoría de descuento, sujeto a disponibilidad de tienda. Aplican restricciones por categoría. Fotos referenciales. 20% en Conservas de pescado marca Tottus. Máximo 6 unidades por compra. Máximo 2 compras por cliente. Aplica a marca Tottus. Stock: 1000 unidades en total. Para acceder al beneficio, el suscriptor deberá solicitar el cupón de cada promoción que desee canjear, ingresando a la Web o App del Club El Comercio y presentarlo de forma física o virtual en las cajas al realizar el pago. Si el suscriptor ya está registrado en la landing https://tottus.falabella.com.pe/tottus-pe/page/registro-club-comercio , sólo deberá proporcionar su DNI en las cajas de las tiendas físicas al realizar el pago. En ambos casos deberá tener su suscripción “Activa” (pagos al día). Válido con cualquier medio de pago que acepte Tottus. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
