descuento,descuento_valor,descuento_descripcion,url_establecimiento,nombre,facebook,categoria,descripcion,direccion,horario,vigencia,condicion,telefono,correo,web,terminos
Adic.10%Dscto.,10%,-10% ADICIONAL EN LA TIENDA,https://clubelcomercio.pe/mascotas-top-dog-shop-top-dog-shop-petshop-13826,TOP DOG SHOP | PETSHOP,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/mascotas-top-dog-shop-top-dog-shop-petshop-13826,Mascotas,"Top Dog Shop es una tienda que cuenta con productos de alta calidad, cómodos y novedosos para tu engreído de 4 patas. Se especializan en camas, accesorios, moda y más. Gracias al Club, accede al 10% adicional en toda la tienda. Válido solo para compras en el local. ¡No dejes pasar esta promoción y has feliz a tu mascota!",Av. Tomas Marsano 2179 - Surquillo ,"Mar y Miér hasta las 7 - Sáb 10am-7:30pm, Domingo de 11am-5pm",Del 21 junio al 31 de diciembre 2023,Visita la tienda y presenta tu DNI.,(01)  No Disponible.,pedidos@topdogshop.pe,https://www.topdogshop.pe/,"Descuento exclusivo para suscriptores de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 21 junio al 31 de diciembre 2023. Sujeto a stock disponible. El beneficio consiste en 10% de dscto. ADICIONAL en toda la tienda. Aplica sobre precio regular y precio con descuento. Válido para compras en tienda física. Para acceder al beneficio, el suscriptor deberá presentar su documento de identidad en el establecimiento al momento de realizar la compra. El descuento del Club no aplica en costo por delivery, este tiene un costo adicional que será indicado por el establecimiento al momento de la compra. Consultar zonas de cobertura y más detalles del servicio de delivery al realizar el pedido. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta25%Dscto.,25%,HASTA -25% EN BAÑOS,https://clubelcomercio.pe/mascotas-top-dog-shop-top-dog-shop-banos-13825,TOP DOG SHOP | BAÑOS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/mascotas-top-dog-shop-top-dog-shop-banos-13825,Mascotas,"Top Dog Shop es una Boutique & Spa que será la favorita de tu engreído de 4 patas. Gracias al Club, accede al 25% de descuento en baños de lunes a viernes y 10% de descuento para baños sábado y domingo. Válido únicamente para tienda física y con previa cita. ¡No dejes pasar esta promoción y has feliz a tu mascota!",Av. Tomas Marsano 2179 - Surquillo ,"Mar-Mier hasta 7pm, Sáb: 10am-7:30pm y Dom: 11am-5pm",Del 14 junio al 31 de diciembre 2023,Dale clic a Obtener Cupón y registra el código en la web de TOP DOG SHOP o visita la tienda indicando tu DNI.,(01)  No Disponible.,pedidos@topdogshop.pe,http://www.topdogshop.pe/,"Descuento exclusivo para suscriptores de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 14 de junio al 31 de diciembre 2023. Sujeto a cupos disponibles. El beneficio consiste en 25% de descuento en baños de lunes a viernes y 10% de descuento para baños sábado y domingo. Aplica sobre precio regular de acuerdo al tamaño de la mascota. Válido únicamente para tienda física y con previa cita. Para acceder al beneficio, el suscriptor deberá estar presenta y mostrar su documento de identidad oficial (de ser el caso). Además, deberá tener la condición de “Activo” (Pagos al día).  La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. No acumulable con otros descuentos, promociones, vales, cupones, gift cards, combos, etc. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta20%Dscto.,20%,HASTA -20% EN PACKS SELECCIONADOS.,https://clubelcomercio.pe/mascotas-don-fermin-galletas-don-fermin-13755,GALLETAS DON FERMÍN,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/mascotas-don-fermin-galletas-don-fermin-13755,Mascotas,"Galletas Don Fermín son productos artesanales elaborados con insumos frescos y naturales, descartando todo tipo de harinas, saborizantes, colorantes y conservantes, etc. Gracias al Club, accede al 20% en todos sus productos. ¡Aprovecha esta promoción y no deje de engreír a su pequeño peludo! Revisa la lista de productos en Más Info.",Jr. Mariscal Las Heras 658 - Lince ,Lun - Vier: 8am - 4:30pm. No feriados.,Del 06 de junio al 31 de diciembre 2023.,Presenta tu documento de identidad e indetifícate como suscriptor en el local o comunícate vía whatsapp/redes sociales,(01)  993561450 | 922786607,informes@gzcperu.com,https://www.facebook.com/galletasdonfermin/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 01 de junio al 31 de diciembre 2023. Esta promoción está sujeta a stock disponible. El beneficio consiste en hasta 20% en packs seleccionados. Revisar lista de packs seleccionados en la sección Más Info de la landig de la promoción. Válido para comprar en tienda física, vía WhatssApp y redes sociales. El descuento aplica sobre el precio regular. Para acceder al beneficio, el suscriptor deberá comunicarse vía WhatssApp al 993561450 / 922786607, Facebook (@galletasdonfermin) o Instagram (@galletasdonferminoficial), en todos los casos deberá indicar su tipo y n° de documento de identidad; en caso de tiendas físicas, deberá estar presente y mostrar su documento de identidad oficial (De ser el caso). Además, deberá tener la condición de “Activo” (Pagos al día). El descuento del Club no aplica en costo por delivery, este tiene un costo adicional que será indicado por el establecimiento al momento de la compra. Consultar zonas de cobertura y más detalles del servicio de delivery al realizar el pedido. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier método de pago permitido por el establecimiento (Plin, yape, efectivo, transferencia bancaria). No aceptan tarjetas de crédito. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Adic.10%Dscto.,10%,-10% ADIC. EN TODA LA TIENDA,https://clubelcomercio.pe/mascotas-go-pet-go-pet-13760,GO PET,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/mascotas-go-pet-go-pet-13760,Mascotas,"Go Pet es una tienda online para tu engreído del hogar. Encuentra comida para mascotas, juguetes, accesorios, medicamentos y más. Gracias al Club podrás acceder a un 10% de dsct. adicional en toda la tienda online. Máx. 2 compras por mes. Revisar T&C.",Compra online,,Del 01 de junio al 31 de julio 2023.,Dale clic a obtener cupón e ingresa tu código en la web de Go Pet o haz tu pedido por WhatsApp indicando tu DNI.,(01)  014887377 | 976441036,,http://www.gopet.pe/,"Beneficio exclusivo para suscriptores de las ediciones impresas de los diarios El Comercio y/o Gestión y digitales de los diarios El Comercio y/o Gestión y de los paquetes Todo Diarios y Todo Incluido de PeruQuiosco. Válido del 04 de abril al 31 de mayo 2023. Esta promoción está sujeta a stock disponible de la web. El descuento consiste en 10% adicional en toda web de Go Pet. La promoción aplica para compras en la web, vía telefónica al (01) 4887377 o vía WhatsApp al 976 441 036. Para acceder al beneficio en la web, el suscriptor deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el código que ingresará en la web de GoPet: https://www.gopet.pe/ Para acceder al beneficio vía telefónica o WhatsApp deberá indicar su tipo y n° de documento oficial al realizar el pedido. Además, deberá tener la condición de “Activos” (Pagos al día). El descuento no aplica en costo por delivery. Consultar con el establecimiento zonas de cobertura y otros detalles del servicio de delivery. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. El suscriptor podrá realizar como maximo 2 compras (una al mes) por cualquiera de los 3 canales durante la vigencia de la promoción. Monto máximo de compra S/550 incluido IGV. Este beneficio es válido con cualquier medio de pago permitido por el establecimiento. Promoción no acumulable con otros cupones vigentes. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta38%Dscto.,38%,HASTA -38% EN PACKS SELECC. Y -23% EN RESTO...,https://clubelcomercio.pe/mascotas-cookie-dogster-cookie-dogster-13727,COOKIE DOGSTER,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/mascotas-cookie-dogster-cookie-dogster-13727,Mascotas,"Cookie Dogster trae las galletas artesanales para mascotas, con gran valor nutritivo, excelente sabor, sin preservantes y 100% naturales. Son perfectas para engreír y premiar a tu engreído de 4 patas. Accede hasta 38% en Packs seleccionados y 23% en el resto de la tienda. Aplica sobre precio regular. ¡No te pierdas esta súper promoción!. Revisa la lista de productos en Más Info.",Delivery a domicilio.,,Del 12 de mayo al 30 de noviembre 2023,"Realiza tu pedido vía Facebook, Instagram o Whatsapp e identifícate con suscriptor indicando tu DNI.",(01)  941089356,info@petsbakery.com,https://www.facebook.com/CookieDogsterPeru/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 12 de mayo al 30 de noviembre 2023 2023. Sujeto a stock disponible. El descuento consiste en hasta 38% en Packs seleccionados y 23% en el resto de la tienda. Aplica sobre precio regular. Válido para compras en Facebook (@CookieDogsterPeru), Instagram (cookiedogster) y Whatsapp al 941089356. Para acceder al beneficio, el suscriptor deberá comunicrse por cualquiera de los 2 medios e indicar su tipo y n° de documento al realizar la compra. Además, deberá tener la condición de “Activo” (Pagos al día). El descuento del Club no aplica en costo por delivery, este tiene un costo adicional que será indicado por el establecimiento al momento de la compra. Consultar zonas de cobertura y más detalles del servicio de delivery al realizar el pedido. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario realice lacompra para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con CUALQUIER MEDIO DE PAGO permitido por el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Adic.15%.Dscto.,15%.,-15% ADICIONAL EN TODA LA TIENDA,https://clubelcomercio.pe/mascotas-la-plaquita-la-plaquita-13716,LA PLAQUITA,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/mascotas-la-plaquita-la-plaquita-13716,Mascotas,"La Plaquita es una tienda online de accesorios para mascotas y amantes de los animales. Encuentra una amplia variedad de productos de la mejor calidad para tus mascotas, desde su especialidad, las plaquitas de identificación, hasta accesorios para paseo, bandanas y juguetes. Gracias al Club, obtén 15% de descuento adicional en toda la tienda por compras mayores a S/50. ¡Explora su tienda y encuentra todo lo que necesitas para cuidar a tus engreídos y mostrar tu amor por tus peluditos!",Beneficio Online,,Del 05 de mayo al 30 de noviembre 2023,Genera tu cupón en la web/app del Club e ingrésalo en su web al hacer tu compra.,(01)  994322743,,https://www.laplaquita.pe/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 05 de mayo al 30 de noviembre 2023. El beneficio consiste en 15% de descuento ADICIONAL en toda la tienda por compras mayores a S/50. La promoción aplica para comprar vía web. Para acceder al beneficio, el suscriptor deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el código que se ingresará en la web de La Plaquita: https://www.laplaquita.pe/ Además, deberá tener la condición de “Activo” (pagos al día). El descuento del Club no aplica al servicio de delivery, este tiene un costo adicional que será indicado por el establecimiento al momento de realizar la compra. La promoción es personal e intransferible, siendo de uso exclusivo del suscriptor/beneficiario. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta20%Dscto.,20%,HASTA  -20% EN HOSPEDAJE CANINO,https://clubelcomercio.pe/mascotas-mi-pata-pet-hotel-resort-mi-pata-pet-hotel-resort-13666,MI PATA PET HOTEL & RESORT,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/mascotas-mi-pata-pet-hotel-resort-mi-pata-pet-hotel-resort-13666,Mascotas,"Mi Pata Pet Hotel & Resort es un lugar campestre con más de 3,000m2 que cuenta con amplias áreas verdes y ambientes acogedores diseñados especialmente para engreír a sus huéspedes de 4 patas. Con el Club, accede al 20% de dscto. en hospedaje para razas toy y pequeñas; y 10% para razas medianas, grandes y extra grandes. ¡No dejes pasar esta promoción!",Los Álamos 183 A - Urb.Papa León XIII Alt. km 59 Panamericana Sur - Chilca.,,Desde el 02 de mayo al 20 de diciembre 2023.,Comunicarse vía correo o WhatssApp e indicar su documento de identidad.,(01)  987507189,contacto@mipatapethotel.net,https://www.mipatapethotel.net/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 02 de mayo al 20 de diciembre 2023. No válido para feriados y festivos: 29 de junio, 28 y 29 de julio, 30 de agosto, 01 de noviembre. Esta promoción esta sujeta a disponiblilidad de habitaciones. El descuento consiste en 20% en hospedaje para razas toy y pequeñas; y 10% para razas medianas, grandes y extra grandes. La atención es con previa reserva con 7 días de anticipación vía correo al contacto@mipatapethotel.net o vía WhatssApp al 987507189. Para acceder al beneficio, el suscriptor deberá comunicarse por cualquiera de los dos medios e indicar su tipo y n° documento de identidad oficial. Además, deberá tener la condición de “Activo” (Pagos al día). El descuento del Club no aplica para el servicio de traslado, este tiene un costo adicional que será indicado por el establecimiento al momento de realizar la reserva. Se aceptan mascotas 100% sociables. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Este beneficio es válido con cualquier medio de pago permitido por el establecimiento. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta25%Dscto.,25%,- HASTA 25% EN LA CLÍNICA VETERINARIA,https://clubelcomercio.pe/mascotas-universidad-peruana-cayetano-heredia-u-p-cayetano-heredia-centro-veterinario-13536,U.P. CAYETANO HEREDIA | CENTRO VETERINARIO,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/mascotas-universidad-peruana-cayetano-heredia-u-p-cayetano-heredia-centro-veterinario-13536,Mascotas,"La Clínica Veterinaria Cayetano Heredia brinda atención en servicios veterinarios a caninos y felinos. Gracias al Club, accede al 25% de descuento en Paquetes seleccionados, servicios de cirugía y consultas; además un 20% de descuento en exámenes de laboratorio. Atención previa cita los días jueves, viernes y sábados. Cuida siempre de tu pequeño y peludo engreído cuando más lo necesite.",Universidad Peruana Cayetano Heredia,,Del 21 de marzo al 31 de julio 2023,Preséntate en el establecimiento con tu DNI.,(01)  982560004 - 013190000 anexo 239253,favez.cvch@oficinas-upch.pe,https://favez.cayetano.edu.pe/nosotross/clinica-veterinaria-docente.html,"Promoción exclusiva para suscriptores y/o beneficiarios de las ediciones impresas de los diarios El Comercio y/o Gestión y de los paquetes Todo Diarios y Todo Incluido de PeruQuiosco. Válido del 21 de marzo al 31 de julio 2023. El beneficio consiste en 25% de descuento en Paquetes seleccionados, servicios de cirugía y consultas; 20% de descuento en examenes de laboratorio. Aplica a todos los examenes que brinda el laboratorio de FAVEZ. Valido en la U.P. Cayetano Heredia. Atención previa cita los días jueves, viernes y sábados. Para acceder al beneficio, el suscriptor deberá estar presente y mostrar su documento de identidad oficial (de ser el caso). Además deberá tener la condición de ""Activo"". Este beneficio puede ser transferible para un familiar directo (esposo/a o hijos). Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier medio de pago que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta15%Dscto.,15%,HASTA -15% EN SERVICIOS Y PRODUCTOS,https://clubelcomercio.pe/mascotas-ashkiwasi-ashkiwasi-crematorio-de-mascotas-13461,ASHKIWASI | CREMATORIO DE MASCOTAS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/mascotas-ashkiwasi-ashkiwasi-crematorio-de-mascotas-13461,Mascotas,"Ashkiwasi es un servicio de cremación de mascotas que prolonga la vida de nuestros compañeros utilizando parte de sus cenizas para fertilizar y darle vida a una planta. También cuenta con una línea de recuerdos, collares, dijes y más donde se colocan parte de las cenizas. Con el Club, podrás acceder al 15% dscto. en servicio de cremación, box de condolencias y traslado de cenizas (cambio de urna) y al 10% dscto. en accesorios porta cenizas. No válido para veterinarias.",Av. Marco Puente Llanos 602 - Ate,,Del 23 de febrero al 31 de Diciembre 2023,Comunícate vía whatssApp y/o redes sociales indicando tu DNI,(01)   986333278,contacto@ashkiwasi.com,https://www.ashkiwasi.com/,"Descuentos exclusivos para suscriptores de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión, válido del 23 de febrero y de los paquetes Diarios y Todo Incluido de PeruQuiosco desde el 08 de marzo al 31 de Diciembre 2023. Descuento aplica sobre el precio regular. El descuento consiste en 15% en servicio de cremación, box de condolencias y traslado de cenizas (cambio de urna); y 10% en accesorios porta cenizas. Beneficio no aplica para veterinarias. Válido para compras vía whatssApp y/o redes sociales. Para acceder al beneficio, el suscriptor deberá comunicarse vía WhatssApp al 986 333 278 o vía redes sociales (@ashkiwasi) e indicar su tipo y n° de documento de identidad oficial. Además, deberá tener la condición de “Activo” (pagos al día). El descuento del Club no aplica para el servicio de recojo y/o entrega, este tiene un costo adicional que será indicado por el establecimiento al momento de solicitar el producto/servicio. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el hotel.El establecimiento manifiesta que cumple con todos los protocolos sanitarios de salubridad para la entrega de productos, promulgados por el Gobierno Peruano. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
50%Dscto.,50%,50% EN TELECONSULTA PARA MASCOTAS,https://clubelcomercio.pe/productos-servicios-groomers-groomers-teleconsulta-13176,GROOMERS | TELECONSULTA,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/productos-servicios-groomers-groomers-teleconsulta-13176,Mascotas,Clínica Veterinaria Groomers te brinda un servicio innovador sin salir de casa y con la mejor asesoría especializada para tu mascota. ¡Aprovecha el 50% de dscto. en teleconsulta! Dale todo el cuidado que tu mascota necesita.,Servicio Virtual,,Del 02 de enero al 31 de diciembre 2023.,Solicita la consulta virtual por WhatsApp presentando tu documento de identidad.,(01)  986786682,,https://www.veterinariagroomers.pe/,"Descuentos exclusivos para suscriptores de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión, válido del 02 de enero; y de los paquetes Diarios y Todo Incluido de PeruQuiosco desde el 08 de marzo, al 31 de diciembre 2023. No válido para feriados: 06, 07, 08 y 09 de abril, 01 de mayo y 29 de junio, 28 y 29 de julio, 30 de agosto, 8 de octubre, 1 de noviembre, 8 y 25 de diciembre. El beneficio consiste en 50% de dscto. en el servicio de Teleconsulta. Para acceder al beneficio, el suscriptor deberá escribir o llamar al 986 786 682 e indicar su tipo y n° de documento de identidad. Además, deberá tener la condición de “Activo”. Válido para asesoría médica a distancia, con el objetivo de despejar dudas y ayudar a resolver situaciones que podría presentar su mascota. Válido de lunes a sábado previa cita, reservando a través de whatsapp al 986 786 682. Esta asesoría no genera un diagnóstico definitivo al no poder realizar exámenes complementarios ni revisión física de su mascota.  El servicio / producto puede ser adquirido para un tercero (amigo o familiar). No incluye exámenes auxiliares. No incluye medicamentos ni tratamientos que resulten de la teleconsulta. No existe máximo de teleconsultas que puede realizar el suscriptor durante la vigencia de la promoción. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con CUALQUIER MEDIO DE PAGO disponible en el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
