descuento,descuento_valor,descuento_descripcion,url_establecimiento,nombre,facebook,categoria,descripcion,direccion,horario,vigencia,condicion,telefono,correo,web,terminos
20%Dscto.,20%,-20% EN TODA LA TIENDA,https://clubelcomercio.pe/productos-servicios-leefante-leefante-13861,LEEFANTE,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/productos-servicios-leefante-leefante-13861,Productos & Servicios,"Leefante sabe que leer y realizar actividades recreativas con tus hijos no solo ayuda a su desarrollo cognitivo, sino también a desarrollar inteligencia emocional. Por esta razón, junto a profesionales de educación inicial, desarrollaron cajas con los mejores libros infantiles de cada área de desarrollo. Gracias al Club aprovecha el 20% de dscto en todos los productos leefante.",Beneficio Online y tienda en Jockey Plaza,,Del 12 de julio al 31 de diciembre 2023,Da clic a obtener cupón e ingresa el código en la web de Leefante o presenta tu DNI en su tienda.,(01)  981110215,hola@leefante.com,http://www.leefante.com,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 12 de julio al 31 de diciembre 2023. El beneficio consiste en 20% de descuento en toda la tienda. Esta promoción esta sujeta a stock disponible. Válido para compras en tienda física de Jockey Plaza y vía web. No existe monto mínimo de compra. Para acceder al beneficio en web, el suscriptor/beneficiario deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el código que ingresará en la web de Leefante: www.leefante.com En caso de compras en tienda física, deberá estar presente y mostrar su documento de identificación oficial físico (de ser el caso). Para acceder a esta promoción todos los suscriptores y/o beneficiarios deberán tener la condición de “Activos” (pagos al día). El descuento del Club no aplica en costo por delivery, este tiene un costo adicional que será indicado por el establecimeinto al realizar la compra. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier método de pago permitido por el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
10%Dscto.,10%,-10% EN CUOTA MENSUAL CLUB LEEFANTE,https://clubelcomercio.pe/productos-servicios-leefante-leefante-suscripciones-13862,LEEFANTE | SUSCRIPCIONES,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/productos-servicios-leefante-leefante-suscripciones-13862,Productos & Servicios,"Leefante sabe que leer y realizar actividades recreativas con tus hijos no solo ayuda a su desarrollo cognitivo, sino también a desarrollar inteligencia emocional. Por esta razón, junto a profesionales de educación inicial, desarrollaron cajas con los mejores libros infantiles de cada área de desarrollo. Gracias al Club aprovecha el 10% de dscto en cuota mensual de la suscripción Club Leefante.",Beneficio Online y tienda en Jockey Plaza,,Del 12 de julio al 31 de diciembre 2023,Da clic a obtener cupón e ingresa el código en la web de Leefante o presenta tu DNI en su tienda.,(01)  981110215,hola@leefante.com,http://www.leefante.com,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 12 de julio al 31 de diciembre 2023. El beneficio consiste en 10% de descuento en cuota mensual de la suscripción Club Leefante. Válido para compras en tienda física de Jockey Plaza y vía web. No existe monto mínimo de compra. Para acceder al beneficio en web, el suscriptor/beneficiario deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el código que ingresará en la web de Leefante: www.leefante.com En caso de compras en tienda física, deberá estar presente y mostrar su documento de identificación oficial físico (de ser el caso). Para acceder a esta promoción todos los suscriptores y/o beneficiarios deberán tener la condición de “Activos” (pagos al día). El descuento del Club no aplica en costo por delivery, este tiene un costo adicional que será indicado por el establecimeinto al realizar la compra. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier método de pago permitido por el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta20%Dscto.,20%,HASTA -20% EN TODA LA TIENDA,https://clubelcomercio.pe/productos-servicios-audiomusica-audiomusica-fiestas-patrias-13916,AUDIOMUSICA | FIESTAS PATRIAS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/productos-servicios-audiomusica-audiomusica-fiestas-patrias-13916,Productos & Servicios,"¡La música no se detiene! Audiomusica pone a tu disposición el stock más completo de Instrumentos Musicales y Audio Profesional. Aprovecha con el Club el 20% de descuento en guitarras acústicas y baterías acústicas, 15% de descuento en tornamesas y accesorios de cuerdas; y 10% en el resto de la tienda. Válido solo para compras en tiendas físicas.",Av. Benavides 170 - Miraflores.,,Del 09 al 31 de julio 2023,Acércate a su local y presenta tu DNI,(01)  012893560,atencion.clientes@audiomusica.com.pe,http://www.audiomusica.com.pe/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 09 al 31 de julio 2023. Esta promoción está sujeta a stock disponible. El beneficio consiste en 20% de descuento en guitarras acústicas y baterias acústicas, 15% de descuento en tornamesas y accesorios de cuerdas; y 10% en el resto de la tienda. La promoción aplica para comprar únicamente en tiendas físicas. No existe monto mínimo de compra. Para acceder al beneficio, el suscriptor deberá estar presente y mostrar su documento de identidad oficial físico (de ser el caso). Además, deberán tener la condición de “Activos” (pagos al día). La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier método de pago permitido por el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
25%Dscto.,25%,-25% EN TODO SALOMON,https://clubelcomercio.pe/productos-servicios-salomon-wilson-salomon-fiestas-patrias-13918,SALOMON | FIESTAS PATRIAS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/productos-servicios-salomon-wilson-salomon-fiestas-patrias-13918,Productos & Servicios,"¡Todo lo que necesitas para tu próxima salida por la ciudad o montaña! Si estás buscando lo último en tecnología deportiva en “Salomon” encontrarás las mejores opciones de ropa, zapatillas de hombre para hacer de tu salida una experiencia inolvidable. Con el Club obtén el 25% dscto. en todo Salomon, no válido para new arrivals. ¡No dejes pasar esta promoción!","Larcomar, Conquistadores y Lurín.",,Del 09 al 31 de julio 2023,Preséntate con tu DNI en sus locales o indica tu documento vía WhatsApp al asesor de ventas.,(01)  923284675,gustavo.melchor@winnerssport.com,https://www.salomonstore.com.pe/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 09 al 31 de julio 2023. Esta promoción está sujeta a stock disponible. El beneficio consiste en 25% de descuento en todo Salomon, no válido para new arrivals. La promoción aplica para comprar en la web y en tiendas físicas de Av. Conquistadores 840 San Isidro de Lunes a Sábado, en Outlet Arauco Lurín y C.C. Larcomar de Lunes a Domingo. No existe monto mínimo de compra. Para acceder en la web, el suscriptor deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el código que ingresará en la web de Salomon: www.salomonstore.com.pe y en tienda física deberá estar presente y mostrar su documento de identidad oficial físico (de ser el caso). Además, deberán tener la condición de “Activos”. Para compras web, solo se podrá usar 1 código promocional por compra/pedido. En caso desea acceder a otro descuento del Club que tenga un código promocional distinto, deberá realizar una compra/pedido adicional. El descuento del Club no aplica al servicio de delivery, este tiene un costo adicional que será indicado por el establecimiento al realizar la compra. Por compras mayores a S/.150 el envío es gratis a todo el Perú. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Este beneficio es válido con cualquier medio de pago permitido por el establecimiento. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
25%Dscto.,25%,-25% EN TODO WILSON,https://clubelcomercio.pe/productos-servicios-salomon-wilson-wilson-fiestas-patrias-13921,WILSON | FIESTAS PATRIAS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/productos-servicios-salomon-wilson-wilson-fiestas-patrias-13921,Productos & Servicios,"Si eres amante del tenis, no dejes pasar la oportunidad y equípate con los mejores implementos para tu deporte favorito. Gracias al Club, obtén el 25% de descuento en todo Wilson, excepto new arrivals y pelotas de tenis. ¡No dejes pasar esta súper promoción!",Conquistadores y Lurin. Detalle en Más Info.,,Del 09 al 31 de julio 2023,Compra en la tienda presentando tu DNI o genera tu cupón en la web/app del Club e ingrésalo en la web de Wilson.,(01)  01 5039411 / 01 5039412,gustavo.melchor@winnerssport.com,https://wilsonstore.com.pe/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 09 al 31 de julio 2023. Esta promoción está sujeta a stock disponible. El beneficio consiste en 25% de descuento en todo Wilson, no válido para new arrivals ni pelotas de tenis. La promoción aplica para comprar en la web y en tiendas físicas de Av. Conquistadores 840 San Isidro de Lunes a Sábado y en Outlet Arauco Lurín de Lunes a Domingo. No existe monto mínimo de compra. Para acceder en la web, el suscriptor deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el código que ingresará en la web de Wilson: www.wilsonstore.com.pe y en tienda física deberá estar presente y mostrar su documento de identidad oficial físico (de ser el caso). Además, deberán tener la condición de “Activos”. Para compras web, solo se podrá usar 1 código promocional por compra/pedido. En caso desea acceder a otro descuento del Club que tenga un código promocional distinto, deberá realizar una compra/pedido adicional. El descuento del Club no aplica al servicio de delivery, este tiene un costo adicional que será indicado por el establecimiento al realizar la compra. Por compras mayores a S/. 150 el envío es gratis a todo el Perú. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Este beneficio es válido con cualquier medio de pago permitido por el establecimiento. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
,Productos & Servicios,PRECIOS ESPECIALES EN TEST DE LABORATORIO,https://clubelcomercio.pe/productos-servicios-synlab-synlab-pruebas-de-laboratorio-13841,SYNLAB | PRUEBAS DE LABORATORIO,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/productos-servicios-synlab-synlab-pruebas-de-laboratorio-13841,Productos & Servicios,"SYNLAB está en el Club, el laboratorio líder en diagnóstico médico en Europa. Tiene a tu disposición sus servicios en 8 sedes en Lima y Arequipa. Con el Club, accederás a precios especiales en todas las pruebas de laboratorio, para que te sientas tranquilo, mejores tu bienestar y calidad de vida.","Miraflores, Jesús María, La Molina, Chacarilla, Los Olivos, Collique y Arequipa (Umacollo y Cercado).",,Del 01 de julio al 31 de diciembre 2023.,Dale clic a Obtener Cupón y preséntalo en las tiendas junto con tu DNI.,(01)  2035900,cliente@synlab.pe,http://www.synlab.pe,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluído de PeruQuiosco. Válida del 01 de julio al 31 de diciembre 2023. El beneficio consiste en precios especiales en todas las pruebas de laboratorio. Revisar pruebas en la sección Más Info del landing de la promoción en la web del Club. Para acceder, el suscriptor deberá solicitar su cupón en la web/app del Club y presentarlo de forma virtual junto con su documento de identidad. Además deberá tener la condición de ""Activo"".  Este beneficio puede ser transferible para un familiar o amigo siempre y cuando el suscriptor este presente al momento de solicitar el beneficio. Este beneficio no es retroactivo, es decir, si no se indica antes de realizar el pago, no podrá solicitarlo luego. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con cualquier medio de pago que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta15%Dscto.,15%,HASTA -15% EN PRODUCTOS,https://clubelcomercio.pe/productos-servicios-lab-nutrition-lab-nutrition-tienda-online-13873,LAB NUTRITION | TIENDA ONLINE,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/productos-servicios-lab-nutrition-lab-nutrition-tienda-online-13873,Productos & Servicios,¡Lab Nutrition llega al Club! Líderes en venta de suplementos para la salud y bienestar. Brinda productos de excelente calidad y una asesoría personalizada que te ayudará a llevar una vida sana. Gracias al Club obtén el 15% dscto. en Solgar y además 10% dscto. en toda la tienda. Excepto creatina y omega wild alaskan. ¡No lo dejes pasar y cumple tus objetivos con Lab Nutrition!,Beneficio Online.,,Del 01 de julio al 31 de diciembre 2023,Genera tu cupón e ingrésalo en la web de Lab Nutrition.,(01)  016429997,,https://www.labnutrition.com/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 01 de julio al 31 de diciembre 2023. Esta promoción está sujeta a stock disponible en la web. El beneficio consiste en 15% de descuento en Solgar y 10% de descuento en toda la tienda, excepto creatina y omega wild alaskan. El descuento aplica sobre el precio regular. El beneficio aplica solo para compras por la web de Lab Nutrition. Para acceder al beneficio, el suscriptor deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el código que ingresará en la web de Lab nutrition: https://www.labnutrition.com/ al realizar la compra. Además, deberá tener la condición de “Activo” (pagos al día). El descuento del Club no aplica en costo por delivery, este tiene un costo adicional que será indicado por el establecimiento al momento de la compra. Consultar zonas de cobertura y más detalles del servicio de delivery al realizar el pedido. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario debe realizar la compra para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. No aplica promoción sobre promoción. Esta promoción es válida con CUALQUIER MEDIO DE PAGO permitido por el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
20%Dscto.,20%,-20% EN NEW ARRIVALS,https://clubelcomercio.pe/productos-servicios-salomon-wilson-salomon-new-arrivals-13886,SALOMON | NEW ARRIVALS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/productos-servicios-salomon-wilson-salomon-new-arrivals-13886,Productos & Servicios,"¡Todo lo que necesitas para tu próxima salida por la ciudad o montaña! Si estás buscando lo último en tecnología deportiva en “Salomon” encontrarás las mejores opciones de ropa, zapatillas y accesorios para hacer de tu salida una experiencia inolvidable. Obtén el 20% dscto. en new arrivals. ¡No dejes pasar esta promoción!","Larcomar, Conquistadores y Lurin.",,Del 01 de julio al 31 de diciembre 2023.,Compra en la tienda presentando documento de identidad o genera tu cupón e ingresalo en la web de Salomon,(01)  015039411 | 015039412,gustavo.melchor@winnerssport.com,https://www.salomonstore.com.pe/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 01 de julio al 31 de diciembre 2023. Esta promoción esta sujeta a stock disponible. El descuento del 20% aplica a new arrivals. La promoción aplica para comprar en la web y en tiendas físicas de Av. Conquistadores 840 San Isidro de Lunes a Sábado, en Outlet Arauco Lurín y C.C. Larcomar de Lunes a Domingo. No existe monto mínimo de compra.  Para acceder en la web, el suscriptor deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el código que ingresará en la web de Salomon:  www.salomonstore.com.pe y en tienda física deberá estar presente y mostrar su documento de identidad oficial físico (de ser el caso). Además, deberán tener la condición de “Activos”(Pagos al día). El descuento aplica sobre el precio regular, no aplica en costo por delivery. Consultar con el establecimiento mayores detalles respecto al servicio del delivery. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Este beneficio es válido con cualquier medio de pago permitido por el establecimiento.  Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
20%Dscto.,20%,-20% EN TODO NEW ARRIVALS,https://clubelcomercio.pe/productos-servicios-salomon-wilson-wilson-new-arrivals-13888,WILSON | NEW ARRIVALS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/productos-servicios-salomon-wilson-wilson-new-arrivals-13888,Productos & Servicios,"¡Llegó Wilson a Club El Comercio! Si eres amante del tenis, no dejes pasar la oportunidad y equípate con los mejores implementos para tu deporte favorito con el 20% dscto. en todos los producto, excepto pelotas de tenis ¡No dejes pasar esta súper promoción!",Conquistadores y Lurin. Detalle en Más Info.,,Del 01 dejulio al 31 de diciembre 2023.,Compra en la tienda presentando documento de identidad o genera tu cupón e ingresalo en la web de Wilson.,(01)  01 5039411 / 01 5039412,gustavo.melchor@winnerssport.com,https://wilsonstore.com.pe/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 01 de julio al 31 de diciembre 2023. Esta promoción esta sujeta a stock disponible. El descuento del 20% aplica a todo new arrivals. La promoción aplica para comprar en la web y en tiendas físicas de Av. Conquistadores 840 San Isidro de Lunes a Sábado y en Outlet Arauco Lurín de Lunes a Domingo. No existe monto mínimo de compra. Para acceder en la web, el suscriptor deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el código que ingresará en la web de Wilson: www.wilsonstore.com.pe y en tienda física deberá estar presente y mostrar su documento de identidad oficial físico (de ser el caso). Además, deberán tener la condición de “Activos”. El descuento aplica sobre el precio regular, no aplica en costo por delivery. Consultar con el establecimiento mayores detalles respecto al servicio del delivery. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Este beneficio es válido con cualquier medio de pago permitido por el establecimiento.  Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
30%Dscto.,30%,-30% EN LUNAS POR LA COMPRA DE MONTURA,https://clubelcomercio.pe/productos-servicios-gmo-opticas-gmo-oftalmicas-13901,ÓPTICAS GMO | OFTÁLMICAS,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/productos-servicios-gmo-opticas-gmo-oftalmicas-13901,Productos & Servicios,"Ópticas GMO ahora en Club! Encuentra las monturas y lunas que estás buscando y con las mejores marcas del merado. Con el Club accede al 30% de descuento en lunas por la compra de montura, no aplica para lunas Ray-Ban Lenses. No esperes más y llévate todas las monturas que puedas por esta promoción. Genera tu cupón y preséntalo en sus locales.",Válido en todos sus locales ,L-S: 10am - 7pm,Del 01 de julio al 30 de setiembre 2023,Genera tu cupón en la web/app del club y preséntalo en sus locales.,(01)  0800-1-4600,canaldigital@pe.luxottica.com,https://gmo.com.pe/tiendas,"Descuento para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 01 de julio al 30 de setiembre 2023. Esta promoción está sujeta a stock disponible. Stock de 80,000 unidades en total a nivel nacional. El beneficio consiste en 30% de descuento en lunas por la compra de montura, excluye lunas Ray-Ban Lenses. Promoción aplicable sobre precio de lista. Para acceder al beneficio el suscriptor deberá solicitar su cupón en la web/app del Club y presentarlo al momento de realizar la compra. Podrán acceder al descuento los suscriptores que cuenten con la condición de “Activos” (pagos al día). Para mayor información comunicarse al 0800-1-4600 de lunes a viernes de 8.30 am a 6.00 pm. o ingresar a www.gmo.com.pe. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Este beneficio es válido con cualquier medio de pago permitido por el establecimiento. Promoción no acumulable con otros descuentos, vales, cupones, convenios, ventas especiales. y/o promociones vigentes. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
