descuento,descuento_valor,descuento_descripcion,url_establecimiento,nombre,facebook,categoria,descripcion,direccion,horario,vigencia,condicion,telefono,correo,web,terminos
30%Dscto.,30%,-30% EN ASISTENCIAS CATEGORÍAS  SELECCIONAD...,https://clubelcomercio.pe/turismo-destinojet-assist-viaje-13855,ASSIST VIAJE,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/turismo-destinojet-assist-viaje-13855,Turismo,"Recorre los lugares más maravillosos del mundo con la mejor compañía y la mejor cobertura gracias. Obtén 30% de dscto. en todas las asistencias Categoría  Viajes por día Now, Life, Pro y Plus. Consulta las tarifas en la web Destinojet.pe, compra vía telefónica o vía e-mail. ¡Viaja seguro con esta promoción!",Cobertura Mundial.,,Compras del 01 julio al 31 diciembre y viajes hasta el 30 junio 2024,Compra por teléfono o vía e-mail indicando tu DNI.,(01)  016251595 | 983276759,info@destinojet.travel,https://destinojet.pe/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido para comprar desde el 01 de julio al 31 de diciembre 2023 a las 14:00. Válido para viajar hasta el 30 de junio 2024 o hasta agotar existencias de 100 asistencias. El 30% de descuento aplica para seguros Now, Life, Pro y Plus desde 3 días hasta 90 días. Para acceder al beneficio, el suscriptor deberá comunicarse vía telefónica o vía e-mail e indicar su tipo y n° de documento de identidad. Además, deberán tener la condición de “Activos”. El servicio puede ser reservado para un tercero (amigo o familiar). El seguro tiene cobertura geográfica Mundial, Incluyendo país de residencia a más de 100 Km de distancia del lugar de residencia en trayecto internacional. El descuento aplica para seguros de 0 a 74 años, para pasajeros de 75 a 80 años aplica un suplemento de 50% sobre la tarifa, el descuento aplicará sobre el precio final con el incremento. Todos los términos y condiciones de este producto se encuentran regidos y amparados por las Condiciones Generales, puestas a disposición a través del sitio web https://assistviaje.com/app/pages/site/. Para mayor información consultar en info@assistviaje.com.pe Promoción no acumulable con otros descuentos y promociones. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
20%Dscto.,20%,-20% EN ALQUILER DE AUTOS MARCA HERTZ EN US...,https://clubelcomercio.pe/turismo-destinojet-hertz-usa-13856,HERTZ | USA,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/turismo-destinojet-hertz-usa-13856,Turismo,Hertz pone a tu disposición el servicio de Alquiler de vehículos. Ahora podrás recorrer tus destinos con total libertad y disfrutar tu viaje al máximo. Gracias al Club aprovecha el 20% de dscto. en todas las categorías de vehículos de la marca Hertz en Estados Unidos. Reservas con mínimo 24 horas de anticipación.,Válido solo para Estados Unidos,,Del 01 de julio al 31 de diciembre 2023,Comunícate vía telefónica o correo indicando tu documento de identidad.,(01)  016251595 | 983276759,info@destinojet.travel,https://destinojet.pe/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válida para reservar y retirar desde el 01 de julio al 31 de diciembre 2023 o hasta agotar cupos. Cupos disponibles: 200. Redimible en las localidades participantes de Hertz, Estados Unidos, US. Las reservas deberán hacerse con más de 24 horas de anticipación. El descuento del 20% aplica en todas las categorías de vehículos de la marca Hertz. Para acceder al beneficio, el suscriptor deberá comunicarse vía telefónica o vía e-mail e indicar su tipo y n° de documento de identidad. Además, deberá tener la condición de “Activo” (Pagos al día). El servicio puede ser reservado para un tercero (amigo o familiar). Cualquier modificación a su reserva original puede resultar en un cambio de tarifa y/o puede anular esta oferta. Se aplicarán los requisitos de conductor, edad y calificación de crédito para alquilar un vehículo, vigentes al momento y lugar del alquiler. La edad mínima para alquilar un auto es de 25 años, existen excepciones con costo adicional. La Oferta está sujeta a disponibilidad, sujeta a cambios sin previo aviso y no es combinable con otras promociones. Aplican condiciones y restricciones de alquiler y de circulación de la rentadora. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta27%Dscto.,27%,HASTA -27% EN HOTELES SELECCIONADOS,https://clubelcomercio.pe/turismo-casa-andina-hoteles-casa-andina-hoteles-13869,CASA ANDINA HOTELES,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/turismo-casa-andina-hoteles-casa-andina-hoteles-13869,Turismo,"Una cadena hotelera peruana que lleva 18 años brindando la mejor experiencia de viaje a sus huéspedes. Sus propiedades integran características de cada destino como la arquitectura, decoración, actividades, terrazas y más para ofrecerle una estadía única. Gracias al Club podrás disfrutar de hasta 27% de dscto. en 20 propiedades de Cusco, Arequipa, Nasca, Colca y más. Revisa el link de la promoción para conocer todos los destinos.","Nasca, Colca, Valle Sagrado, Puno, Cusco, Lima, Trujillo, Piura, Arequipa, Huancayo, Maresta, Huancavelica, Tucan, Pucallpa y Empedrada.",,Reservas desde el 01/07/23 hasta el 30/09/23 y estadías desde el 01/07/23 hasta el 31/12/23,Genera tu cupón y regístralo en la web de la promoción de Casa Andina.,(01)  013916500,reservasonline@casa-andina.com,https://www.casa-andina.com/es/home,"'Descuentos exclusivos para suscriptores de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión, y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válidos para reservar desde el 01/07/23 hasta el 30/09/23 y estadías desde el 01/07/23 hasta el 31/12/23. Sujeto a disponibilidad del hotel. En beneficio consiste en hasta 27% de descuento en la compra de alojamiento más desayuno. Válido en los siguientes hoteles: Descuento de 27% en CAST Colca, CAP Valle Sagrado y CAP Puno; 25% en CAST Nasca, CAST Cusco Plaza y CAP Cusco; 22% en CAP San Isidro, CAS Miraflores, CAST Arequipa, CAS Tacna, HA Fundo San José; 20% en CAST Benavides, CAS Pucallpa, CAP Arequipa, CAS Arequipa, CAST Cusco Catedral, CAST Machu Picchu, HA Turistas Huancayo, HA Maresta, HA Presidente Huancayo, HA Tucán, HA Presidente Huancavelica; 15% en HA Empedrada, CAST Trujillo y CAP Piura.  Descuento se aplica en base a la tarifa “PAGO EN EL HOTEL” de la web. Válido para reservar hasta tres (3) habitaciones la misma noche o tres (3) noches consecutivas en un mismo hotel. Máximo de personas por tipo de habitación se indicará en el momento de la reserva y de acuerdo con tipo de habitación que elija. Promoción válida para reservar por la web en www.casa-andina.com/es/ofertas/club-el-comercio. Para acceder al beneficio en la web de Casa Andina, el suscriptor deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y dar clic a Obtener cupón, este cupón contiene el código que deberá ingresar en www.casa-andina.com/es/ofertas/club-el-comercio al reservar el alojamiento. Sólo podrán acceder los suscriptores que tengan la condición de “Activos” (pagos al día). En caso realizar la reserva aplicando el código promocional para clientes del  CLUB EL COMERCIO pero no sea un socio activo, el cliente no será acreedor al descuento aplicado durante el proceso de reserva y el hotel se reserva el derecho de cobrar dicho monto al momento del check-in. Se aplican restricciones de fecha. No válido el 28 y 29 de julio en CAST Nasca, CAST Cusco Plaza, CAP Cusco, HA Fundo San José, CAS Arequipa, CAST Cusco Catedral, HA Turistas Huancayo, HA Tucán, HA Empedrada y CAP Piura; del 24 al 28 de setiembre en CAST Arequipa y CAS Arequipa; del 26 al 30 de octubre en HA Empedrada; del 9 al 11 de noviembre en CAST Arequipa y CAS Arequipa; del 13 al 16 de noviembre en CAP Valle Sagrado; el 30 y 31 de diciembre en CAST Nasca, CAST Cusco Plaza, CAP Cusco, HA Fundo San José, CAS Arequipa, CAST Cusco Catedral, HA Turistas Huancayo, HA Tucán y HA Empedrada. Descuento no acumulable ni válido con otras promociones. Válido para socios activos del CLUB EL COMERCIO. En el proceso de la reserva se aplicará el 10% a la tarifa inicial correspondiente al cargo por servicios. Las personas domiciliadas en el Perú estarán sujetas al pago del 18% del Impuesto General a las Ventas (IGV) al momento de realizar su Check-In en el Hotel, de acuerdo con la legislación peruana. Excepciones: En el caso de Casa Andina Select Pucallpa y HA Tucán, se aplica 5% de cargo por servicios. Los siguientes hoteles aplican exoneración del IGV: CAS Pucallpa, HA Fundo San Jose, HA Sauce, HA Tucán y HA Irapay. Los siguientes hoteles no aplican cargo por servicios: HA Empedrada, HA Turistas Huancayo, HA Sauce, HA Presidente Huancavelica, HA Maresta, HA Irapay, HA Presidente Huancayo y HA Fundo San José.  Beneficio para uso ilimitado dentro del plazo de reservas.  Descuento no acumulable ni válido con otras promociones. Revisar términos y condiciones del hotel en www.casa-andina.com/es/ofertas/club-el-comercio .  Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento en su web. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
40%Dscto.,40%,40% en tarjeta Assist Card,https://clubelcomercio.pe/turismo-assist-card-peru-assist-card-13879,ASSIST CARD,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/turismo-assist-card-peru-assist-card-13879,Turismo,"ASSIST CARD, empresa líder en asistencia integral al viajero que cuenta con Centros de Asistencias distribuidos alrededor del mundo. Con más de 50 años de experiencia y más de 20 millones de pasajeros asistidos a nivel global. Gracias al Club obtén  40% de descuento sobre la tarifa regular en los productos Classic, Premium, Privileged y Million. Aplica para modalidad daily (de 5 a 30 días) o multitrip 30 (mt30)l. Mayor detalle en ""Más info"". Viaja seguro con esta promoción.",Av. Los Conquistadores 1136 San Isidro. L a V de 9am a 5pm,,Del 01 de julio al 31 de diciembre 2023.,Acércate al local con tu DNI o comunícate vía telefónica.,(01)  015125018,infoventas@assistcard.com,http://www.assistcard.com/pe,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 01 de julio al 31 de diciembre 2023. El beneficio consiste en el 40% de descuento sobre la tarifa regular en los productos Classic, Premium, Privileged y Million. Aplica para modalidad daily (de 5 a 30 días) o multitrip 30 (mt30). El beneficio aplica para compras en Boutique: Av. Conquistadores 1136, San Isidro, módulo en el Aeropuerto Internacional Jorge Chavez y vía telefónica al (01) 512-5018. Para acceder al beneficio presencial, el suscriptor/beneficiario deberá estar presente y mostrar su documento de identidad oficial físico (de ser el caso). Para acceder vía telefónica deberá comunicarse al 01 512 5018 e indicar su DNI u otro documento de identificación oficial. Además, deberán tener la condición de “Activos”(Pagos al día). Por tarifa regular se entiende aquellas tarifas que aplica Assist Card para la venta al público en general, las cuales podrán ser modificadas por Assist Card a su exclusivo criterio. Las tarifas están expresadas en USD y no estás afectas al IGV. Las tarifas incrementan en 50% para personas entre 70 y 74 años y se incrementa en 100% para personas desde 75 años. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Fecha límite de inicio de vigencia (viaje) 31 de diciembre de 2023. Este beneficio es válido con cualquier medio de pago permitido por el establecimiento. No es válido para modalidad long stay ni pack familiar. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
15%Dscto.,15%,-15% EN PASAJES NACIONALES,https://clubelcomercio.pe/turismo-cruz-del-sur-cruz-del-sur-13827,CRUZ DEL SUR,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/turismo-cruz-del-sur-cruz-del-sur-13827,Turismo,"Transportes Cruz del Sur, empresa líder la empresa peruana líder en transporte terrestre con más de 62 años de experiencia, con la clara convicción de brindar un servicio de calidad acorde a las necesidades y exigencias del cliente. Con el Club accede al 15% dscto. en pasajes nacionales, ida o ida/vuelta. Válido para viajar en el servicio Ica Line y el 2do piso de los buses: Cruzero Suite, Plus y Evolution. No aplica para Confort Suite ni Internacional. Vive la emoción de viajar seguro!",Beneficio Online,,Del 16 de junio al 31 de agosto 2023,Da clic a obtener cupón y regístralo en su web al realizar tu compra.,(01)  993555276,servicioalcliente@cruzdelsur.com.pe,http://www.cruzdelsur.com.pe/,"Descuento exclusivo para suscriptores de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión; y de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido para comprar y viajar del 16 de junio al 31 de agosto 2023. No aplica para viajar en días festivos, fines de semana largos decretados por el gobierno y feriado calendario: desde tres (03) días antes, hasta tres (03) días después del día feriado o festivo. Esta promoción está sujeta a stock disponible. Stock máximo de 1000 promociones. El beneficio consiste en 15% de descuento en pasajes nacionales, ida o ida/vuelta. El descuento aplica a tarifas regulares. Válido solo para compras en web. Descuento válido para compras en rutas nacionales y para viajar en el servicio Ica Line y el 2do piso de los buses: Cruzero Suite, Plus y Evolution. No válido para viajar en servicio Confort Suite ni Internacional. Para acceder al beneficio, el suscriptor deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el código que ingresará en la web de Cruz Del Sur: www.cruzdelsur.com.pe Podrán acceder al beneficio los suscriptores que cuenten con la condición de “Activos” (pagos al día). La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario realice la compra para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Descuento no válido para asientos con tarifas promocionales (ocasión o insuperable). Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Este beneficio es válido con CUALQUIER MEDIO DE PAGO permitido por el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción, cuya responsabilidad es exclusiva del establecimiento."
20%Dscto.,20%,-20% EN VUELOS NACIONALES,https://clubelcomercio.pe/turismo-sky-airline-sky-airline-13822,SKY AIRLINE,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/turismo-sky-airline-sky-airline-13822,Turismo,"SKY, la aerolínea low cost con más pasajeros a nivel nacional en Perú y con la flota más moderna de América está en el Club. Vuela por el Perú con el 20% de dscto. y visita hasta 15 destinos nacionales: Arequipa, Ayacucho, Cusco, Iquitos, Juliaca, Piura, Pucallpa, Tarapoto, Trujillo, Tumbes, Talara, Cajamarca, Chiclayo, Jauja y Tacna. ¡No dejes pasar esta promoción y programa ya mismo tus vacaciones! Solicita tu cupón y compra sólo en la web de SKY. Sujeto a stock disponible. Revisar T&C.",Beneficio Online,,Compras del 15/06/23 hasta el 31/07/23 y/o hasta agotar stock. Viajes del 14/08/23 al 20/10/23.,Genera tu cupón e ingresa el código en la casilla de descuento de la web de SKY PERU al realizar tu compra.,(01)  No Disponible.,,https://bit.ly/3RUBSxl,"Descuento exclusivo para suscriptores activos de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión. Válido para compras desde las 09:00am del 15 de junio del 2023 hasta las 11:59pm al 31 de julio 2023 y/o hasta agotar stock; y para viajar desde el 14/08/2023 al 20/10/2023, bajo las condiciones de la aerolínea. Stock mínimo: 25 asientos por tramo. Condiciones sujetas a cambios, según disposiciones del Gobierno. El descuento consiste en 20% de descuento en pasajes aéreos sobre tarifa neta (no aplica sobre tasas aeroportuarias ni impuestos), de acuerdo con los tramos y tarifas que serán detalladas. Válido para todas las tarifas (zero, plus y full). Válido para ida o para ida y vuelta.  Descuento aplica únicamente en compras online a través de www.skyairline.com/peru. Para acceder al descuento, el suscriptor deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el cupón que contiene el código que deberá ingresar en la casilla de descuento de la web de SKY PERU al realizar la compra. Podrán acceder al cupón los suscriptores que cuenten con la condición de “Activos” (pagos al día). No aplica a tarifas promocionales. Válido para todas las rutas nacionales operadas por SKY Perú. Aplica a los siguientes destinos desde Lima: Lima-Cusco, Lima-Arequipa, Lima-Piura, Lima-Tarapoto, Lima-Iquitos, Lima-Pucallpa, Lima-Trujillo, Lima-Ayacucho, Lima-Tumbes, Lima-Juliaca, Lima - Talara, Lima - Jauja, Lima - Tacna, Lima - Cajamarca, Lima - Chiclayo. Hacia Lima: Cusco-Lima, Arequipa-Lima, Piura-Lima, Tarapoto-Lima, Iquitos-Lima, Pucallpa-Lima, Trujillo-Lima, Ayacucho-Lima, Tumbes-Lima, Juliaca-Lima, Talara - Lima, Jauja - Lima, Tacna - Lima, Cajamarca - Lima, Chiclayo - Lima.  No hay un límite de pasajes aéreos que pueda adquirir el suscriptor durante la presente promoción siempre que haya stock disponible. Este beneficio es válido con cualquier medio de pago permitido por el Establecimiento. Promoción sujeta a disponibilidad de asientos y variables por fechas y/o tarifa de vuelos. No es acumulable con otras ofertas o promociones. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta20%Dscto.,20%,HASTA -20% EN VUELOS,https://clubelcomercio.pe/turismo-jetsmart-jetsmart-13743,JETSMART,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/turismo-jetsmart-jetsmart-13743,Turismo,"JetSMART, la línea aérea de ultra bajo costo se unió al Club! Vuela por el Perú con 20% de dscto. y al extranjero con 10% de dscto. Destinos desde Lima: Arequipa, Trujillo, Piura, Talara, Cusco, Cajamarca, Chiclayo, Iquitos, Tarapoto, Santiago de Chile y Buenos Aires. Además, vuelos directos entre Arequipa-Cusco, Arequipa-Trujillo, Trujillo-Santiago e Iquitos y Tarapoto. No aplica tarifa U. Solo para compras con 10 días previos a la fecha de viaje. Con JetSMART vuela más pagando menos.",Beneficio Online,,Compras del 16/05/2023 hasta el 16/08/2023 y/o hasta agotar stock. Viajes del 26/05/2023 al 25/11/2023,Genera tu cupón en la web/App del Club e ingrésalo en la web de JetSMART,(01)  013110005,ventas.pe@jetsmart.com,https://jetsmart.com/pe/es/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido para compras desde el 16 mayo al 16 de agosto 2023 y/o hasta agotar stock; y para viajar desde el 26/05/2023 al 25/11/2023, bajo las condiciones de la aerolínea. Condiciones sujetas a cambios, según disposiciones del Gobierno. Válido únicamente para compras con al menos  10 días de anticipación a la fecha de viaje. El beneficio consiste en 20% de descuento en vuelos nacionales y 10% de descuento en vuelos internacionales sobre tarifa neta (no aplica sobre tasas aeroportuarias ni impuestos), de acuerdo con los tramos y tarifas que serán detalladas. Válido para todas las tarifas, excepto tarifa U. Válido para ida o para ida y vuelta.  Descuento aplica únicamente en compras online a través de https://jetsmart.com/pe/es/. Para acceder al descuento, el suscriptor deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el cupón que contiene el código que deberá ingresar en la casilla de Código Promocional de la web de JetSMART al realizar la compra. Podrán acceder al cupón los suscriptores que cuenten con la condición de “Activos” (pagos al día). No aplica a tarifas promocionales. Válido para todas las rutas nacionales e internacionales operadas por JET SAMRT. La promoción es personal e intransferible, siendo de uso exclusivo para el suscriptor/beneficiario. No hay un límite de pasajes aéreos que pueda adquirir el suscriptor durante la presente promoción siempre que haya stock disponible. Este beneficio es válido con cualquier medio de pago permitido por el Establecimiento. Promoción sujeta a disponibilidad de asientos y variables por fechas y/o tarifa de vuelos. No es acumulable con otras ofertas o promociones vigentes. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta25%Dscto.,25%,-25% EN ALOJAMIENTO Y -10% EN ALIMENTOS Y B...,https://clubelcomercio.pe/turismo-bella-terra-hoteles-bella-terra-hoteles-resort-spa-13717,BELLA TERRA HOTELES & RESORT SPA,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/turismo-bella-terra-hoteles-bella-terra-hoteles-resort-spa-13717,Turismo,"Bella Terra es el primer Hotel Resort & Spa 5 estrellas en la Amazonia peruana ubicada en la región de San Martín, distrito de Sauce, a dos horas de la imponente ciudad de Tarapoto y en plena selva amazónica, a las orillas de la famosa Laguna Azul. Cuenta con un staff preparado para personalizar y hacer tu visita única. Con el Club obtendrás un 25% dscto. en alojamiento y 10% dscto. en alimentos y bebidas. Disfruta de una moderna infraestructura con una excelente vista a los recursos naturales.","Jr. Arnulfo García s/n Cuadra 2, Sauce – San Martín",,Del 09 de mayo al 31 de diciembre 2023,Comunícate vía WhatsApp e indica tu DNI al hacer tu reserva.,(01)   (511) 4444 668,reservas@bellaterrahoteles.com,http://www.bellaterrahoteles.com,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido para reservar y alojarse del 09 de mayo al 31 de diciembre 2023. sujeto a disponibilidad del hotel. El beneficio consiste en 25% de descuento en alojamiento y 10% de descuento en alimentos y bebidas. La promoción aplica para reservas vía WhatsApp al 972056619 o 972057128. Para acceder al beneficio, el suscriptor deberá comunicarse vía WhatsApp e indicar su tipo y n° de documento al momento de realizar la reserva. Además, deberá tener la condición de “Activo” (pagos al día). La promoción es personal e intransferible, siendo de uso exclusivo del suscriptor/beneficiario. No hay un límite de habitaciones que pueda reservar el suscriptor siempre que el establecimiento cuente con disponibilidad. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el hotel. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
15%Dscto.,15%,-15% EN ALQUILERES,https://clubelcomercio.pe/turismo-wynwood-house-wynwood-house-13676,WYNWOOD HOUSE,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/turismo-wynwood-house-wynwood-house-13676,Turismo,"Wynwood House te ofrece una red de departamentos y villas para alquileres de corto, mediano y largo plazo ubicadas en las mejores zonas de las principales ciudades de Latinoamérica. Además, te ofrece la comodidad y privacidad de un hogar, con la calidad y los servicios de un hotel de lujo. Gracias al Club, disfruta del 15% de dscto. en alojamiento de cualquier propiedad en Perú, Panamá, México y Colombia. Realiza tu reserva vía web. ¡No dejes pasar esta super promoción!","Cobertura Perú, Colombia, Panamá, México",,Del 24 de abril al 31 de Diciembre 2023,Genera tu cupón e ingresa el código en la web de Wynwood House.,(01)  947022549,sales@wynwood-house.com,https://wynwood-house.com/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 24 de abril al 31 de Diciembre 2023. No aplica feriados: 01 de mayo, 29 de junio, 28 y 29 de julio, 30 de agosto, 08 y 31 de octubre, 01 de noviembre, 08, 24, 25 y 31 de diciembre. El beneficio consiste en 15% de descuento en alquiler de cualquier propiedad en Perú, Panamá, México y Colombia. Descuento no aplica en el pago de tarifa de limpieza (cleaning fee). El beneficio aplica únicamente en la web de Wynwood House. Para acceder en la web, el suscriptor deberá iniciar sesión en la web/app del Club El Comercio, seleccionar la promoción y generar el código que ingresará en la web de Wynwood House: https://wynwood-house.com/ Podrán acceder al beneficio los suscriptores que cuenten con la condición de “Activo” (Pagos al día). La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Se permite 1 cambio de fecha y/o de nombre del titular de la reserva siempre que el cambio sea solicitado hasta siete (7) días antes de la fecha de ingreso y que la nueva fecha se encuentre dentro del periodo de vigencia de estadía de la promoción. La confirmación de la nueva fecha estará sujeta a disponibilidad y podría generar cargos adicionales por diferencia de tarifa. Para consultas o cambios, comunicarse al (+51) 947022549. En caso de requerir factura se debe considerar adicionar el 18% IGV. Este beneficio es válido con cualquier medio de pago permitido por el establecimiento. Promoción no acumulable con otros descuentos, vales, códigos y/o promociones vigentes. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
30%Dscto.,30%,-30% EN ALOJAMIENTO.,https://clubelcomercio.pe/turismo-xo-art-house-xo-art-house-13598,XO ART HOUSE,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/turismo-xo-art-house-xo-art-house-13598,Turismo,"Descubre las maravillas de la ciudad de los Incas, alojándote el hotel boutique XO Art House, ubicado en el barrio artístico de San Blas. Un nuevo concepto de alojamiento “a puerta cerrada”, dentro de una casona tradicional, diseñada en la era colonial española, con siete habitaciones, intervenidas por notables artistas cusqueños. Aprovecha la oferta que te trae Club EC y accede al 30% de dscto. en alojamiento. Revisa el detalle de precios en Más Info.",Calle Choquechaca 350. Cusco-Peru.,,Compras y reservas del 11 de abril hasta el 31 de Diciembre 2023.,Comunícate vía telefónica o por correo indicando tu documento de identidad.,,,http://www.xoarthousecusco.com/,"Descuentos exclusivos para suscriptores de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y de los paquetes Todo Diarios y Todo Incluido de PeruQuiosco. Válidos para reservar y alojarse desde el 11 de abril hasta el 31 de Diciembre 2023. No aplica en feriados: 01 de mayo, 29 de junio, 27 y 28 de julio, 30 de agosto, 8 de octubre, 01 de noviembre, 25 y 31 de diciembre. El beneficio conssite en 30% de descuento en todos los tipos de alojamiento. Reservas sujeta a disponibiliad del hotel. Los descuentos aplican para peruanos, residentes y extranjeros. Para acceder al beneficio, el suscriptor y/o beneficiario deberá comunicarse vía telefónica o vía e-mail e indicar su tipo y n° de documento de identidad. Además, deberán tener la condición de “Activos” (pagos del día). No aplica para compras por web. El alojamiento puede ser reservado para un tercero (amigo o familiar). No hay un límite de habitaciones que pueda reservar el suscriptor siempre que el establecimiento cuente con disponibilidad. Las confirmaciones se envían una vez que se reciba el pago. Cambios de fecha serán permitidos 7 días antes de la fecha de arribo, tener en cuenta que los cambios en las reservas estarán sujetos a disponibilidad. Reservas con más de 15 días de anticipación: Es necesario pagar el 40% del total y el saldo 15 días antes de su llegada al refugio. Reservas con menos de 15 días de anticipación: es necesario pagar el total de la tarifa. Para información detallada de los términos y condiciones del hotel visite su página web. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el hotel. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
