id;preguntas;respuestas
1;¿Qué tipos de descuento encontraré en el Club de Suscriptores? ;Encontrarás +300 promociones con hasta 70% de descuento. Úsalas de manera ilimitada ¡tenemos 15,categorías! Y puedes pagar con cualquier método de pago.
2;¿Cómo funciona el programa de beneficios en el Club de Suscriptores?;"Es el programa de beneficios exclusivo para suscriptores del diario El Comercio, Gestión y Perú Quiosco 
donde accedes a descuentos en restaurantes, entretenimiento y más, las veces que desees con 
cualquier medio de pago. Si ya formas parte del Club, te invito que vuelvas al menú principal de Alicia y 
sigas la siguiente ruta -> Atención al cliente ->  Club El Comercio y elige una de las opciones según la 
ubicación que desees."
3;¿Cómo hago uso de los beneficios del Club de Suscriptores?;"Al llegar al establecimiento indica que eres suscriptor de Club de Suscriptores. Identifícate presentando 
tu documento de identidad en físico y disfruta tu descuento."
4;¿Cómo hago uso de los beneficios del Club de Suscriptores si soy una persona jurídica?;"Si usted es una persona jurídica, sigue los siguientes pasos:  
1. Registre en nuestra central de atención al cliente (01) 311-5100 a los beneficiarios de su empresa y 
registre su DNI. 
2. Identifíquese presentando su documento de identidad en físico. 
3. Disfruta de sus descuentos"
5;¿Desde cuándo hago uso de los beneficios del Club de Suscriptores?;"Podrás hacer uso de los descuentos y promociones de Club de Suscriptores al momento de culminar el 
pago con cualquier medio de pago. Siempre que haya culminado su registro ingresando al link que le 
llegará por correo electrónico al titular de la suscripción"
6;¿Quiénes tienen acceso a las promociones? ;Todas aquellas personas que se encuentren registradas en la base del Club de Suscriptores
7;¿Dónde me enteró de los beneficios del Club de Suscriptores?;"Puedes visualizar todos los beneficios del Club de Suscriptores en http://clubelcomercio.pe/ o 
descargando el APP Club El Comercio. Pero también por medio de nuestra asistente virtual Alicia"
8;¿El beneficiario adicional tiene los mismos beneficios que el suscriptor? ;"Sí, el beneficiario adicional podrá acceder a todas las promociones de igual forma que el suscriptor 
titular. Siempre que haya culminado su registro ingresando al link que le llega en el correo de invitación 
del titular. "
9;¿Un suscriptor digital puede registrar a un beneficiario adicional?;"No, solo los suscriptores impresos y/o digital + impreso (bundle) tienen derecho a dos accesos al club; es 
decir, uno para el titular y otro para un beneficiario adicional (invitado), mientras que un suscriptor de 
digital solo recibe un acceso para el titular de la suscripción"
10;"¿Si soy suscriptor de un diario impreso y un diario digital puedo registrarme dos veces en la web del 
club?";No, solo puedes registrarte una vez y por ende solo tener un único acceso al club
11;¿Qué es el contenido exclusivo y por qué no puedo acceder libremente a él?;"Por ""contenido exclusivo"" nos referimos a artículos desarrollados para la web de El Comercio sobre 
diversos temas a través de análisis, crónicas, perfiles y entrevistas y mucho más. Estos artículos se 
pueden reconocer porque tienen un sello de ""Exclusivo para suscriptores"" y no son de libre acceso. Para 
poder leerlos, debes adquirir una suscripción digital."
12;¿Tiene algún costo registrarme?;"No. El proceso de registro es completamente gratuito. Pero recuerda que Registrarte (crear un usuario 
en la web de elcomercio.pe) es distinto a suscribirte al Plan Digital o a alguno de los otros planes. 
Suscribirte sí implica un pago. "
13;¿Qué canales de atención tienen?;"Para cualquier información, duda o consulta, puedes recibir ayuda personalizada por los siguientes 
medios: Llámanos al (01) 311-5100 horario de atención al Cliente: de lunes a viernes: 7:00 a.m. a 7:00 
p.m. sábados, domingos y feriados: 7:00 a.m. a 1:00 p.m. Además, contamos con nuestra asistente 
virtual Alicia que está disponible 24/7 para cualquier gestión o consulta que necesites, su número es: 
+51 926 644 283"
14;¿Qué tipo de contenido encuentro en el Plan Digital?;"Ve más allá de las noticias con nuestras relevaciones de investigación y análisis de data. Disfruta de 
nuestras columnas de opinión, contenido interactivo y multimedia como podcasts, juegos y video, lo 
último que pasa en el país y el mundo, así como más de 20 temáticas relevantes para tu toma de 
decisiones."
15;¿Cómo funciona? ;"Si no adquieres la suscripción digital, puedes leer determinado número de notas gratuitas dentro del 
mes (en la web y en la app de El Comercio). Al consumir el número de notas gratuitas mensuales, te 
pedimos que adquieras un plan para seguir navegando de forma ilimitada en nuestra página web y/o en 
nuestra app. Para poder usar tu plan, tienes que ingresar con tu usuario y contraseña."
16;Si no adquiero ningún plan digital, ¿puedo seguir navegando en la web de El Comercio?;"Si has cumplido el número de notas gratuitas mensuales, puedes seguir accediendo a la página principal, 
pero no a las notas y demás contenido. Solo adquiriendo tu suscripción digital puedes seguir navegando 
sin límites."
17;¿Qué es acceso ilimitado a la web elcomercio.pe en todos tus dispositivos?;"Es la opción que te ofrece El Comercio para seguir informándote sin límites a través de su página web 
desde cualquier dispositivo que desees: celular, laptop, desktop o tablet. Este acceso también te 
permite navegar sin límites desde la app de El Comercio"
18;Quiero comprar con RUC un plan digital, ¿cómo puedo hacer?;"Si eres una empresa, ingresa a https://elcomercio.pe/suscripcionesdigitales/empresa/ y haz clic en 
Suscripciones Corporativas, ahí encontrarás un formulario donde podrás dejar tus datos e 
inmediatamente nos comunicaremos contigo para atender tu requerimiento. Asimismo, puedes 
comunicarte con nosotros al 311-5100 y gustosamente atendemos tu consulta y/o requerimiento."
