descuento,descuento_valor,descuento_descripcion,url_establecimiento,nombre,facebook,categoria,descripcion,direccion,horario,vigencia,condicion,telefono,correo,web,terminos
35%Dscto.,35%,-35%. EN LA CARTA.,https://clubelcomercio.pe/gastronomia-tierra-del-fuego-tierra-del-fuego-rd-13991,TIERRA DEL FUEGO | RD,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/gastronomia-tierra-del-fuego-tierra-del-fuego-rd-13991,Gastronomía,"En Tierra del Fuego encontrarás una variedad de platos. Deléitate con sus ribs de cerdo al cilindro, entraña a la parrilla, chancho al palo y mucho más. Con el Club disfruta la semana de Resto Days el 35% de dscto. en toda la carta excepto en bebidas alcohólicas. Válido para consumo en el local, para llevar y delivery.",Av. Comandante Espinar 866- Miraflores. Mar-Sab: 12pm a 12:30am ,Dom: 12:30 pm a 5pm,Del 18 al 23 de julio 2023,Identifícate como suscriptor con tu DNI al realizar tu pedido en el local o vía telefónica.,(01)  977840114,INFORMES@TIERRADELFUEGO.PE,https://www.instagram.com/tierradelfuego.pe/?hl=es-la,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 18 al 23 de julio 2023 de acuerdo al horario de atención del local. El descuento consiste en 35% en toda la carta, no aplica para bebidas alcohólicas. Válido para consumo en el local, para llevar y/o delivery. El descuento del club no aplica al servicio de delivery,  este tiene un costo adicional que será indicado al momento de solicitar el servicio. Para acceder al beneficio por consumo para llevar o para consumir en el restaurante, el suscriptor deberá estar presente y mostrar su documento de identificación oficial físico (de ser el caso); para el caso de pedidos por delivery deberá comunicarse vía telefónica al 977 840 114 e indicar su tipo y n° de documento de identidad. Además, deberá tener la condición de “Activo” (pagos al día). Consultar detalles en relación al tiempo de entrega y cobertura al realizar el pedido. Aplica un solo descuento por pedido o mesa/visita por día. Descuento máximo por pedido/suscriptor de S/100. Se emitirá tan solo una boleta/factura por consumo total de la mesa/pedido. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. No acumulable con otros descuentos, promociones, vales, cupones, gift cards, combos, etc. No válida para pedidos por aplicaciones. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
30%Dscto.,30%,-30% EN TODA LA CARTA,https://clubelcomercio.pe/gastronomia-d-tinto-bife-black-chicken-d-tinto-bife-rd-13995,D' TINTO & BIFE | RD,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/gastronomia-d-tinto-bife-black-chicken-d-tinto-bife-rd-13995,Gastronomía,"D' Tinto & Bife, un restaurante especializado en carnes y parrillas, que entre sus principales cortes son los americanos y los argentinos. Prueba su variedad de carnes: Lomo, Bife ancho, Bife angosto, Asado de tira, Picanha y Entraña y más. Aprovecha la semana de Resto Days con un 30% de descuento en toda la carta, incluyendo parrillas y bebidas con y sin alcohol. Aplica solo para consumo en su local de Miraflores.",Av. República de Panamá 6472 -  Miraflores ,Mar-Sáb: 12:30pm a 11pm y D: 12pm a 5pm,Del 18 al 23 de julio 2023,Presenta tu DNI en el local,(01)  975671756,,http://www.detintoybife.com,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 18 al 23 de julio 2023. El beneficio consiste en 30% de descuento en toda la carta, incluyendo parrillas y bebidas con y sin alcohol. Aplica únicamente para consumo en local de República de Panamá 6472, Miraflores. Para acceder al beneficio, el suscriptor deberá estar presente y mostrar su documento de identidad oficial (de ser el caso). Además, deberá tener la condición de “Activo” (pagos al día). Aplica un solo descuento por pedido/mesa. Descuento máximo por pedido/suscriptor de S/100. Descuento aplica para el consumo total del pedido. Se emitirá tan solo una boleta/factura por consumo total de la mesa. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. No acumulable con otros descuentos, promociones, vales, cupones, gift card, combos, etc. Esta promoción no es válida para pedidos por aplicaciones. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
Hasta50%Dscto.,50%,HASTA -50% EN LA CARTA,https://clubelcomercio.pe/gastronomia-pizzarte-pizzarte-rd-13994,PIZZARTE | RD,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/gastronomia-pizzarte-pizzarte-rd-13994,Gastronomía,"La verdadera pizza a la piedra de Lima la encuentras en PIZZARTE. Además, son pizzas artesanales y saludables. Aprovecha con el Club por la semana de Resto Days del 50% dscto. en las tradicionales y el 30% dscto. en resto de la carta, no aplica en bebidas. Prueba sus sabores como: la Exótica, la Mexicana, la Carbonara, la Chickenbacon, la 4 quesos y más. Monto mínimo para delivery de S/35.00 (con dscto. aplicado). Válido para llevar y delivery.",Av. Mariscal La Mar 1172 - Miraflores ,Mar-Dom: 12pm-9:30pm,Del 18 al 23 de julio 2023,Presenta tu DNI en el local.,(01)  014072262 | 946208885,ventas@pizzarte.pe,http://www.pizzarte.pe,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 17 al 23 de julio 2023. Sujeto a stock dispoble en local. El beneficio consiste en 50% solo en las tradicionales y 30% en el resto de la carta, no aplica en bebidas. Válido para para llevar y delivery. Los pedidos por delivery tienen un consumo mínimo de S/35 (con dscto. aplicado). El descuento no aplica en el servicio de delivery, éste tiene un costo adicional que será indicado al solicitar el pedido. Para acceder al beneficio para llevar y/o para consumir en el restaurante, el suscriptor y/o beneficiario deberá estar presente y mostrar su DNI u otro documento de identificación oficial físico (de ser el caso). Para el caso de pedidos por delivery deberá comunicarse vía telefónica y proporcionar su documento de identidad. En ambos casos, además, deberán tener la condición de “Activos”. Consultar zonas de cobertura y detalles del servicio de delivery con el establecimiento. Aplica un solo descuento por pedido/mesa. No existe número máximo de visitas/pedidos que pueda realizar el suscriptor durante la vigencia de la promoción. Se emitirá tan solo una boleta/factura por consumo total de la mesa/pedido. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. No acumulable con otros descuentos, promociones, vales, cupones, gift cards, combos, etc. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
30%Dscto.,30%,-30% EN LA CARTA,https://clubelcomercio.pe/gastronomia-bon-beef-bon-beef-rd-13969,BON BEEF | RD,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/gastronomia-bon-beef-bon-beef-rd-13969,Gastronomía,"Bon Beef, un espacio para compartir con toda la familia de buenos momentos. Disfruta sus emblemáticas hamburguesas de carne Angus, así como sus deliciosos cortes de carne premium, entradas, postres y más. Con el Club accede a los Resto Days por una semana al 30% de dscto. en la carta de alimentos. No aplica para bebidas, platos del día u otras promociones. Valido para consumo y/o recojo en el local. ¡Aprovecha este beneficio!","Magdalena, Miraflores, San Miguel y Patio Panorama",,Del 17 al 23 de julio 2023,Presenta tu DNI en el local,(01)  936791525 | 977480700 | 952104071 | 977446996,No Disponible,https://www.bonbeef.pe/,"Descuento exclusivo para suscriptores de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y de los paquetes Todo Diarios y Todo Incluido de PeruQuiosco. Válido del 17 al 23 de julio 2023. Promoción válida para consumo y/o recojo en el local.  El descuento del 30% aplica solo en alimentos excepto promociones y/o platos del día. No aplica en bebidas con o sin alcohol. Para acceder al beneficio en el local el suscriptor debe estar presente y mostrar su DNI en físico. Además, deberán tener la condición de “Activos”. Aplica un solo descuento por pedido/mesa. Descuento máximo por suscriptor de S/120. Se emitirá tan solo una boleta/factura por consumo total de la mesa. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. No acumulable con otros descuentos, promociones, vales, cupones, gift card, combos, etc. Promoción no válida para pedidos por delivery, web y/o aplicaciones. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento.  Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
30%Dscto.,30%,-30% EN LA CARTA,https://clubelcomercio.pe/gastronomia-trattoria-mamma-lola-trattoria-mamma-lola-rd-13972,TRATTORIA MAMMA LOLA | RD,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/gastronomia-trattoria-mamma-lola-trattoria-mamma-lola-rd-13972,Gastronomía,"Trattoria Mamma Lola, es un restaurante de comida italiana que ofrece las más tradicionales recetas, además de platos fusión. Gracias al Club aprovecha la semana de Resto Days y disfruta durante una semana del 30% de dscto. en la carta, incluyendo bebidas sin alcohol. No válido para bebidas con alcohol. Este beneficio es válido para consumo en el local y/o para llevar. ¡No pierdas la oportunidad de disfrutar de estas deliciosas pastas!",Miraflores Jr. Diez Canseco 119 - 12pm-11pm ,Calle Las Orquídeas 565 San Isidro - 12pm-9pm,Del 17 al 23 de julio 2023,Presenta tu DNI en el local o indícalo al realizar tu pedido por teléfono.,(01)  Mir: 012416335 - 981135367 | S.I:  922933352,mammalola@grupodosdemayo.com,#,"Descuentos exclusivos para suscriptores de las ediciones impresas de los diarios El Comercio y/o Gestión y de los paquetes Todo Diarios y Todo Incluido de PeruQuiosco. Válido del 17 al 23 de julio 2023. El beneficio consiste en 30% dscto en la carta, incluye bebidas sin alcohol. No válido para bebidas con alcohol. Este beneficio es válido consumo en el local y/o para llevar, sujeto a funcionamiento del local. Para acceder al beneficio, el suscriptor deberá estar presente y mostrar su documento de identificación oficial físico (de ser el caso). Además, deberá tener la condición de “Activo” (Pagos al día). No válido para delivery. Descuento aplica para el consumo total del pedido/mesa. Descuento máximo por pedido/suscriptor S/100. Aplica un descuento por pedido/mesa. Se emitirá tan solo una boleta/factura por consumo total del pedido/mesa. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción .Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. No aplica delivery a través de aplicaciones u otras plataformas. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
50%Dscto.,50%,-50% EN PLATOS DE LA CARTA,https://clubelcomercio.pe/gastronomia-santo-pez-santo-pez-rd-13998,SANTO PEZ | RD,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/gastronomia-santo-pez-santo-pez-rd-13998,Gastronomía,"¡Simplemente delicioso! Engríe tu paladar y degusta platillos marinos que te cautivarán. Con el Club disfruta del 50% dscto. de lunes a viernes en todos los platos a la carta. No aplican para bebidas con o sin alcohol. Aplica para consumo en el local, para llevar y/o entrega por delivery. Consumo mínimo para delivery: S/.60 incluido descuento.","Av. La Mar 456, Miraflores y Av. Benavides 4503, Surco. De lunes a domingo 12pm a 5pm.",,Del 17 al 21 de julio 2023.,Presenta tu DNI en el local indícalo vía WhatsApp al hacer tu pedido.,(01)  Miraflores: 987962027 | Surco:987962026,,https://santopez.com/,"Descuentos exclusivos para suscriptores de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido desde el 17 al 21 de julio 2023. El beneficio consiste en 50% de descuento en la carta de alimentos. No aplica para bebidas con o sin alcohol. Este beneficio es válido para consumo en el local, para llevar y/o para delivery en sus locales de Miraflores y Surco. Para delivery, el consumo mínimo es de S/.60 incluido el descuento. Para acceder al beneficio, el suscriptor deberá estar presente y mostrar su documento de identificación oficial físico (de ser el caso); para el caso de pedidos por delivery deberá comunicarse vía telefónica indicando su tipo y n° de documento de identidad. Además, deberán tener la condición de “Activos” (pagos al día). El descuento no aplica en el servicio de delivery. Este tendrá un costo adicional que será confirmado por el establecimiento al realizar el pedido. Consultar mayores detalles del servicio de delivery, horarios y zonas de reparto con el Establecimiento. El descuento aplica para el consumo total del pedido. Descuento máximo por pedido/suscriptor S/120. Aplica un descuento por pedido/mesa al día. Se emitirá tan solo una boleta/factura por consumo total del pedido/mesa. No existe máximo de visitas/pedidos que puede realizar el suscriptor durante la vigencia de la promoción. La promoción no aplica para delivery a través de aplicaciones u otras plataformas. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
50%Dscto.,50%,-50% EN LA CARTA  HORARIO ALMUERZO,https://clubelcomercio.pe/gastronomia-liverpool-restobar-liverpool-restobar-almuerzo-rd-13985,LIVERPOOL RESTOBAR ALMUERZO | RD,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/gastronomia-liverpool-restobar-liverpool-restobar-almuerzo-rd-13985,Gastronomía,"¡Escuchar buena música de los años 70 y 80 mientras disfrutas de un exquisito plato de comida en compañía de tus seres queridos es posible en LIVERPOOL RESTOBAR! Gracias al Club, accede por una semana al 50% de dscto. en la carta de comida de 12pm a 5pm disfruta en la variada de platos como parrillas, pescados, pastas, saltados y más. No incluye bebidas con o sin alcohol. Válido sólo para consumo en el local. ¡No dejes de degustar lo mejor!","Av. Grau 192, Miraflores",,Del 17 al 23 de julio 2023,Presenta tu documento de identidad en el local e identifícate como suscriptor.,(01)  998346046,liverpoolrestobar@hotmail.com,http://www.facebook.com/Liverpool-Restobar-140663176085514/,"Descuento exclusivo para suscriptores y/o beneficiarios de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido del 17 al 23 de julio 2023. El beneficio consiste en 50% de descuento en la carta de comida de Liverpool en el horario de 12:00p.m. a 5:00p.m. No incluye bebidas con o sin alcohol. Este beneficio es únicamente para consumir en el local. Para acceder al beneficio, el suscriptor debe estar presente y mostrar su documento de identificación oficial (de ser el caso). Además, deberán tener la condición de “Activos” (Pagos al día). Aplica un solo descuento por mesa, descuento máximo  de S/120. Descuento aplica para el consumo total del pedido. Se emitirá tan solo una boleta/factura por consumo total de la mesa. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. No acumulable con otros descuentos, promociones, vales, cupones, etc. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
40%Dscto.,40%,-40% EN TODA LA CARTA,https://clubelcomercio.pe/gastronomia-baco-vaca-baco-y-vaca-rd-13975,BACO Y VACA | RD,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/gastronomia-baco-vaca-baco-y-vaca-rd-13975,Gastronomía,"Gracias al Club aprovecha por una semana los Resto Days con el 40% de dscto. en toda la carta de Baco & Vaca. Válido para consumo en el local, para llevar y/o para entrega por delivery (sujeto a monto mínimo). No dejes pasar esta gran oportunidad!",Av. Dos de Mayo 798- San Isidro | Av Benavides 1866 - Miraflores ,,Del 17 al 23 de julio 2023,Presenta tu DNI en el local o indícalo al realizar tu pedido por teléfono/WhatsApp,(01)  SI: 936478643 | M: 934589580,reservas@bacoyvaca.pe,http://www.bacoyvaca.pe/,"Descuento exclusivo para suscriptores de las ediciones impresas de los diarios El Comercio y/o Gestión y de los paquetes Todo Diarios y Todo Incluido de PeruQuiosco. Válido del 17 al 23 de julio 2023. Descuento del 40% aplica en toda la carta. Descuento máximo por pedido/suscriptor de S/100. Este beneficio es válido para consumo en el local, para llevar y/o para entrega por delivery (Delivery solo en la sede San Isidro). El descuento del club no aplica al servicio de delivery, este tiene un costo adicional que será indicado al momento de solicitar el servicio. Para acceder al beneficio en local y/o para llevar, el suscriptor y/o beneficiario debe estar presente y mostrar su DNI u otro documento de identificación oficial físico (de ser el caso); para el caso de pedidos por delivery deberá comunicarse vía telefónica indicando su tipo y n° de documento de identidad. Además, deberán tener la condición de “Activos”. Consultar zonas de cobertura y detalles del servicio de delivery al realizar el pedido. Aplica un solo descuento por pedido o mesa/visita por día. Descuento aplica para el consumo total del pedido. Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. Se emitirá tan solo una boleta/factura por consumo total de la mesa/pedido. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción. No acumulable con otros descuentos, promociones, vales, cupones vigentes. Esta promoción no es válida para pedidos por aplicaciones. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
30%Dscto.,30%,-30% EN LA CARTA,https://clubelcomercio.pe/gastronomia-el-parquetito-el-parquetito-rd-13993,EL PARQUETITO | RD,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/gastronomia-el-parquetito-el-parquetito-rd-13993,Gastronomía,"No dejes de probar los exquisitos anticuchos, tacu tacu, lomo saltado, ají de gallina y toda la diversidad de platos que te ofrece El Parquetito. Con el Club El Comercio, aprovecha los Resto Days y accede durante toda una semana con el 30% de dscto en la carta. No aplica a bebidas alcohólicas ni menú. Este beneficio es válido para consumo en el local y/o para llevar.",Calle Lima 373 Miraflores. Mar-Dom: 9am-8pm,,Del 17 al 23 de julio,Presenta tu DNI en el local.,(01)  014440490 | 991899225,,#,"Descuentos exclusivos para suscriptores de las ediciones impresas de los diarios El Comercio y/o Gestión y de los paquetes Todo Diarios y Todo Incluido de PeruQuiosco. Válido del 17 al 23 de julio 2023. El beneficio consiste en 30% dscto en la carta. No aplica para bebidas alcohólicas ni para el menú. Este beneficio es válido consumo en el local y/o para llevar, sujeto a funcionamiento del local. Para acceder al beneficio, el suscriptor deberá estar presente y mostrar su documento de identificación oficial físico (de ser el caso). Además, deberá tener la condición de “Activo” (Pagos al día). No válido para delivery. Descuento aplica para el consumo total del pedido/mesa. Descuento máximo por pedido/suscriptor S/100. Aplica un descuento por pedido/mesa. Se emitirá tan solo una boleta/factura por consumo total del pedido/mesa. La promoción es personal e intransferible, siendo necesario que el suscriptor/beneficiario esté presente para hacer efectiva la promoción .Este beneficio puede usarse de forma ilimitada durante la vigencia de esta promoción. No aplica delivery a través de aplicaciones u otras plataformas. Promoción no acumulable con otros descuentos, vales, cupones y/o promociones vigentes. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento."
10%Dscto.,10%,-10%  EN TODA LA CARTA,https://clubelcomercio.pe/gastronomia-mad-burger-mad-burger-13948,MAD BURGER,https://www.facebook.com/sharer/sharer.php?u=https://clubelcomercio.pe/gastronomia-mad-burger-mad-burger-13948,Gastronomía,"Mad Burger es un burger joint estilo americano que se ha hecho paso entre las mejores hamburgueserías de Lima. En su carta encontrarás dogs y burgers con el auténtico sabor a la clásica hamburguesa americana, puede acompañarse con papas fritas, shakes y postres como el fondant de chocolate. Anímate a probarlos gracias al Club con el 10% de dscto en la carta. Válido solo para consumo en el local, no aplica para delivery.","Av. Mariscal La Mar 1244, Miraflores",,Del 07 de julio hasta el 31 de diciembre 2023,Presenta tu DNI en el local.,(01)  924772811,lamar@madburgerlima.com,https://madburgerlima.com/,"Descuento exclusivo para suscriptores de las ediciones impresas y digitales de los diarios El Comercio y/o Gestión, y para los suscriptores de los paquetes Diarios y Todo Incluido de PeruQuiosco. Válido desde el 07 de julio hasta el 31 de diciembre 2023. No aplica feriados: 28 y 29 de julio, 6 y 30 de agosto, 8 de octubre, 1 de noviembre, 8, 9, ni 25 de diciembre. Promoción válida para consumo en el local, no aplica para delivery. El descuento del 10% aplica a toda la carta. Para acceder al beneficio el suscriptor debe estar presente y mostrar su DNI en físico. Además, deberán tener la condición de “Activos” (pagos al día). Aplica un solo descuento por mesa/visita. Descuento máximo por suscriptor de S/100. No existe número máximo de visitas que pueda realizar el suscriptor durante la vigencia de la promoción. Se emitirá tan solo una boleta/factura por consumo total de la mesa. No acumulable con otros descuentos, promociones, vales, cupones, gift card, combos, etc. Esta promoción es válida con CUALQUIER MEDIO DE PAGO que acepte el establecimiento. Empresa Editora El Comercio S.A. no se hace responsable por los servicios ofrecidos en la presente promoción cuya responsabilidad es exclusiva del establecimiento"
